date,source,destination,transfer_type,gb_transferred,cost
2026-01-02,service-4,service-5,VPC-peering,2463.2,24.63
2026-01-02,service-5,service-6,cross-AZ,793.16,7.93
2026-01-02,service-6,service-7,cross-region,1986.74,39.73
2026-01-02,service-7,service-8,internet-egress,663.14,29.84
2026-01-02,service-8,service-9,VPC-peering,1145.46,11.45
2026-01-03,service-1,service-2,cross-AZ,2440.91,24.41
2026-01-03,service-2,service-3,cross-region,1938.73,38.77
2026-01-03,service-3,service-4,internet-egress,857.97,38.61
2026-01-03,service-4,service-5,VPC-peering,1586.49,15.86
2026-01-03,service-5,service-6,cross-AZ,219.26,2.19
2026-01-03,service-6,service-7,cross-region,739.35,14.79
2026-01-03,service-7,service-8,internet-egress,1824.14,82.09
2026-01-03,service-8,service-9,VPC-peering,1468.22,14.68
2026-01-03,service-9,service-10,cross-AZ,1227.21,12.27
2026-01-03,service-10,service-11,cross-region,1758.1,35.16
2026-01-03,service-11,service-12,internet-egress,1056.3,47.53
2026-01-03,service-12,service-1,VPC-peering,162.77,1.63
2026-01-03,service-1,service-2,cross-AZ,1158.46,11.58
2026-01-03,service-2,service-3,cross-region,2265.11,45.3
2026-01-03,service-3,service-4,internet-egress,2155.88,97.01
2026-01-03,service-4,service-5,VPC-peering,1081.59,10.82
2026-01-03,service-5,service-6,cross-AZ,153.33,1.53
2026-01-03,service-6,service-7,cross-region,1627.14,32.54
2026-01-03,service-7,service-8,internet-egress,1878.87,84.55
2026-01-03,service-8,service-9,VPC-peering,806.18,8.06
2026-01-04,service-1,service-2,cross-AZ,1243.99,12.44
2026-01-04,service-2,service-3,cross-region,2480.46,49.61
2026-01-04,service-3,service-4,internet-egress,1483.22,66.75
2026-01-04,service-4,service-5,VPC-peering,942.58,9.43
2026-01-04,service-5,service-6,cross-AZ,1605.97,16.06
2026-01-04,service-6,service-7,cross-region,532.05,10.64
2026-01-04,service-7,service-8,internet-egress,578.21,26.02
2026-01-04,service-8,service-9,VPC-peering,2319.82,23.2
2026-01-04,service-9,service-10,cross-AZ,674.08,6.74
2026-01-04,service-10,service-11,cross-region,845.89,16.92
2026-01-04,service-11,service-12,internet-egress,1405.07,63.23
2026-01-04,service-12,service-1,VPC-peering,2259.26,22.59
2026-01-04,service-1,service-2,cross-AZ,1975.48,19.75
2026-01-04,service-2,service-3,cross-region,205.08,4.1
2026-01-04,service-3,service-4,internet-egress,1763.27,79.35
2026-01-04,service-4,service-5,VPC-peering,1309.75,13.1
2026-01-04,service-5,service-6,cross-AZ,1241.33,12.41
2026-01-04,service-6,service-7,cross-region,1759.74,35.19
2026-01-04,service-7,service-8,internet-egress,570.96,25.69
2026-01-04,service-8,service-9,VPC-peering,2455.57,24.56
2026-01-05,service-1,service-2,cross-AZ,1648.74,16.49
2026-01-05,service-2,service-3,cross-region,977.57,19.55
2026-01-05,service-3,service-4,internet-egress,1540.49,69.32
2026-01-05,service-4,service-5,VPC-peering,619.53,6.2
2026-01-05,service-5,service-6,cross-AZ,1621.22,16.21
2026-01-05,service-6,service-7,cross-region,167.72,3.35
2026-01-05,service-7,service-8,internet-egress,918.84,41.35
2026-01-05,service-8,service-9,VPC-peering,1894.04,18.94
2026-01-05,service-9,service-10,cross-AZ,2039.15,20.39
2026-01-05,service-10,service-11,cross-region,707.01,14.14
2026-01-05,service-11,service-12,internet-egress,1394.58,62.76
2026-01-05,service-12,service-1,VPC-peering,1368.38,13.68
2026-01-05,service-1,service-2,cross-AZ,1111.49,11.11
2026-01-05,service-2,service-3,cross-region,648.24,12.96
2026-01-05,service-3,service-4,internet-egress,1787.75,80.45
2026-01-05,service-4,service-5,VPC-peering,705.67,7.06
2026-01-05,service-5,service-6,cross-AZ,2286.46,22.86
2026-01-05,service-6,service-7,cross-region,1368.4,27.37
2026-01-05,service-7,service-8,internet-egress,2189.15,98.51
2026-01-05,service-8,service-9,VPC-peering,797.78,7.98
2026-01-06,service-1,service-2,cross-AZ,2036.99,20.37
2026-01-06,service-2,service-3,cross-region,372.79,7.46
2026-01-06,service-3,service-4,internet-egress,1940.39,87.32
2026-01-06,service-4,service-5,VPC-peering,1028.67,10.29
2026-01-06,service-5,service-6,cross-AZ,1227.98,12.28
2026-01-06,service-6,service-7,cross-region,500.34,10.01
2026-01-06,service-7,service-8,internet-egress,144.71,6.51
2026-01-06,service-8,service-9,VPC-peering,1698.87,16.99
2026-01-06,service-9,service-10,cross-AZ,1510.52,15.11
2026-01-06,service-10,service-11,cross-region,1593.83,31.88
2026-01-06,service-11,service-12,internet-egress,712.0,32.04
2026-01-06,service-12,service-1,VPC-peering,674.27,6.74
2026-01-06,service-1,service-2,cross-AZ,2092.71,20.93
2026-01-06,service-2,service-3,cross-region,1927.01,38.54
2026-01-06,service-3,service-4,internet-egress,908.3,40.87
2026-01-06,service-4,service-5,VPC-peering,1630.73,16.31
2026-01-06,service-5,service-6,cross-AZ,2087.56,20.88
2026-01-06,service-6,service-7,cross-region,2233.19,44.66
2026-01-06,service-7,service-8,internet-egress,113.94,5.13
2026-01-06,service-8,service-9,VPC-peering,2052.31,20.52
2026-01-07,service-1,service-2,cross-AZ,940.94,9.41
2026-01-07,service-2,service-3,cross-region,1824.11,36.48
2026-01-07,service-3,service-4,internet-egress,991.36,44.61
2026-01-07,service-4,service-5,VPC-peering,1555.0,15.55
2026-01-07,service-5,service-6,cross-AZ,1652.28,16.52
2026-01-07,service-6,service-7,cross-region,1071.98,21.44
2026-01-07,service-7,service-8,internet-egress,1330.68,59.88
2026-01-07,service-8,service-9,VPC-peering,1843.15,18.43
2026-01-07,service-9,service-10,cross-AZ,1243.13,12.43
2026-01-07,service-10,service-11,cross-region,133.55,2.67
2026-01-07,service-11,service-12,internet-egress,130.97,5.89
2026-01-07,service-12,service-1,VPC-peering,1687.15,16.87
2026-01-07,service-1,service-2,cross-AZ,2133.37,21.33
2026-01-07,service-2,service-3,cross-region,1984.66,39.69
2026-01-07,service-3,service-4,internet-egress,844.96,38.02
2026-01-07,service-4,service-5,VPC-peering,1230.71,12.31
2026-01-07,service-5,service-6,cross-AZ,661.99,6.62
2026-01-07,service-6,service-7,cross-region,2473.96,49.48
2026-01-07,service-7,service-8,internet-egress,725.22,32.63
2026-01-07,service-8,service-9,VPC-peering,1099.03,10.99
2026-01-08,service-1,service-2,cross-AZ,1734.71,17.35
2026-01-08,service-2,service-3,cross-region,2202.44,44.05
2026-01-08,service-3,service-4,internet-egress,223.54,10.06
2026-01-08,service-4,service-5,VPC-peering,822.45,8.22
2026-01-08,service-5,service-6,cross-AZ,1465.57,14.66
2026-01-08,service-6,service-7,cross-region,1583.95,31.68
2026-01-08,service-7,service-8,internet-egress,268.07,12.06
2026-01-08,service-8,service-9,VPC-peering,1693.79,16.94
2026-01-08,service-9,service-10,cross-AZ,1367.35,13.67
2026-01-08,service-10,service-11,cross-region,2086.31,41.73
2026-01-08,service-11,service-12,internet-egress,633.25,28.5
2026-01-08,service-12,service-1,VPC-peering,568.06,5.68
2026-01-08,service-1,service-2,cross-AZ,2004.01,20.04
2026-01-08,service-2,service-3,cross-region,1789.29,35.79
2026-01-08,service-3,service-4,internet-egress,2000.02,90.0
2026-01-08,service-4,service-5,VPC-peering,1976.64,19.77
2026-01-08,service-5,service-6,cross-AZ,349.6,3.5
2026-01-08,service-6,service-7,cross-region,768.6,15.37
2026-01-08,service-7,service-8,internet-egress,724.2,32.59
2026-01-08,service-8,service-9,VPC-peering,2343.01,23.43
2026-01-09,service-1,service-2,cross-AZ,1269.92,12.7
2026-01-09,service-2,service-3,cross-region,366.54,7.33
2026-01-09,service-3,service-4,internet-egress,794.99,35.77
2026-01-09,service-4,service-5,VPC-peering,2192.56,21.93
2026-01-09,service-5,service-6,cross-AZ,2132.96,21.33
2026-01-09,service-6,service-7,cross-region,2260.81,45.22
2026-01-09,service-7,service-8,internet-egress,1032.47,46.46
2026-01-09,service-8,service-9,VPC-peering,1639.22,16.39
2026-01-09,service-9,service-10,cross-AZ,767.62,7.68
2026-01-09,service-10,service-11,cross-region,533.98,10.68
2026-01-09,service-11,service-12,internet-egress,152.56,6.87
2026-01-09,service-12,service-1,VPC-peering,636.26,6.36
2026-01-09,service-1,service-2,cross-AZ,1550.5,15.5
2026-01-09,service-2,service-3,cross-region,2270.1,45.4
2026-01-09,service-3,service-4,internet-egress,420.21,18.91
2026-01-09,service-4,service-5,VPC-peering,2303.23,23.03
2026-01-09,service-5,service-6,cross-AZ,928.92,9.29
2026-01-09,service-6,service-7,cross-region,1124.39,22.49
2026-01-09,service-7,service-8,internet-egress,975.95,43.92
2026-01-09,service-8,service-9,VPC-peering,1080.66,10.81
2026-01-10,service-1,service-2,cross-AZ,722.06,7.22
2026-01-10,service-2,service-3,cross-region,1776.65,35.53
2026-01-10,service-3,service-4,internet-egress,1919.64,86.38
2026-01-10,service-4,service-5,VPC-peering,2075.47,20.75
2026-01-10,service-5,service-6,cross-AZ,919.1,9.19
2026-01-10,service-6,service-7,cross-region,1935.1,38.7
2026-01-10,service-7,service-8,internet-egress,1630.42,73.37
2026-01-10,service-8,service-9,VPC-peering,2399.0,23.99
2026-01-10,service-9,service-10,cross-AZ,1119.48,11.19
2026-01-10,service-10,service-11,cross-region,2481.54,49.63
2026-01-10,service-11,service-12,internet-egress,1876.95,84.46
2026-01-10,service-12,service-1,VPC-peering,1963.07,19.63
2026-01-10,service-1,service-2,cross-AZ,161.69,1.62
2026-01-10,service-2,service-3,cross-region,1293.76,25.88
2026-01-10,service-3,service-4,internet-egress,1368.01,61.56
2026-01-10,service-4,service-5,VPC-peering,197.44,1.97
2026-01-10,service-5,service-6,cross-AZ,849.11,8.49
2026-01-10,service-6,service-7,cross-region,2393.55,47.87
2026-01-10,service-7,service-8,internet-egress,1122.67,50.52
2026-01-10,service-8,service-9,VPC-peering,548.08,5.48
2026-01-11,service-1,service-2,cross-AZ,1332.01,13.32
2026-01-11,service-2,service-3,cross-region,181.04,3.62
2026-01-11,service-3,service-4,internet-egress,1338.37,60.23
2026-01-11,service-4,service-5,VPC-peering,1526.24,15.26
2026-01-11,service-5,service-6,cross-AZ,958.47,9.58
2026-01-11,service-6,service-7,cross-region,1930.18,38.6
2026-01-11,service-7,service-8,internet-egress,425.71,19.16
2026-01-11,service-8,service-9,VPC-peering,2207.64,22.08
2026-01-11,service-9,service-10,cross-AZ,2393.07,23.93
2026-01-11,service-10,service-11,cross-region,102.96,2.06
2026-01-11,service-11,service-12,internet-egress,2122.53,95.51
2026-01-11,service-12,service-1,VPC-peering,1314.65,13.15
2026-01-11,service-1,service-2,cross-AZ,1207.37,12.07
2026-01-11,service-2,service-3,cross-region,672.83,13.46
2026-01-11,service-3,service-4,internet-egress,1173.58,52.81
2026-01-11,service-4,service-5,VPC-peering,2381.03,23.81
2026-01-11,service-5,service-6,cross-AZ,605.89,6.06
2026-01-11,service-6,service-7,cross-region,529.7,10.59
2026-01-11,service-7,service-8,internet-egress,680.55,30.62
2026-01-11,service-8,service-9,VPC-peering,1424.4,14.24
2026-01-12,service-1,service-2,cross-AZ,2332.72,23.33
2026-01-12,service-2,service-3,cross-region,1477.32,29.55
2026-01-12,service-3,service-4,internet-egress,684.36,30.8
2026-01-12,service-4,service-5,VPC-peering,1157.09,11.57
2026-01-12,service-5,service-6,cross-AZ,1036.96,10.37
2026-01-12,service-6,service-7,cross-region,211.77,4.24
2026-01-12,service-7,service-8,internet-egress,1325.54,59.65
2026-01-12,service-8,service-9,VPC-peering,402.42,4.02
2026-01-12,service-9,service-10,cross-AZ,2121.39,21.21
2026-01-12,service-10,service-11,cross-region,1417.51,28.35
2026-01-12,service-11,service-12,internet-egress,2127.06,95.72
2026-01-12,service-12,service-1,VPC-peering,2394.51,23.95
2026-01-12,service-1,service-2,cross-AZ,2363.65,23.64
2026-01-12,service-2,service-3,cross-region,341.03,6.82
2026-01-12,service-3,service-4,internet-egress,2367.56,106.54
2026-01-12,service-4,service-5,VPC-peering,2009.79,20.1
2026-01-12,service-5,service-6,cross-AZ,1966.38,19.66
2026-01-12,service-6,service-7,cross-region,316.31,6.33
2026-01-12,service-7,service-8,internet-egress,530.84,23.89
2026-01-12,service-8,service-9,VPC-peering,2440.39,24.4
2026-01-13,service-1,service-2,cross-AZ,612.09,6.12
2026-01-13,service-2,service-3,cross-region,505.73,10.11
2026-01-13,service-3,service-4,internet-egress,969.64,43.63
2026-01-13,service-4,service-5,VPC-peering,2292.05,22.92
2026-01-13,service-5,service-6,cross-AZ,1242.86,12.43
2026-01-13,service-6,service-7,cross-region,2309.4,46.19
2026-01-13,service-7,service-8,internet-egress,902.41,40.61
2026-01-13,service-8,service-9,VPC-peering,643.67,6.44
2026-01-13,service-9,service-10,cross-AZ,1288.49,12.88
2026-01-13,service-10,service-11,cross-region,1577.14,31.54
2026-01-13,service-11,service-12,internet-egress,1039.6,46.78
2026-01-13,service-12,service-1,VPC-peering,930.47,9.3
2026-01-13,service-1,service-2,cross-AZ,623.34,6.23
2026-01-13,service-2,service-3,cross-region,760.02,15.2
2026-01-13,service-3,service-4,internet-egress,1715.48,77.2
2026-01-13,service-4,service-5,VPC-peering,987.7,9.88
2026-01-13,service-5,service-6,cross-AZ,291.42,2.91
2026-01-13,service-6,service-7,cross-region,431.57,8.63
2026-01-13,service-7,service-8,internet-egress,993.71,44.72
2026-01-13,service-8,service-9,VPC-peering,2318.81,23.19
2026-01-14,service-1,service-2,cross-AZ,1009.67,10.1
2026-01-14,service-2,service-3,cross-region,245.54,4.91
2026-01-14,service-3,service-4,internet-egress,1103.19,49.64
2026-01-14,service-4,service-5,VPC-peering,1705.16,17.05
2026-01-14,service-5,service-6,cross-AZ,1524.63,15.25
2026-01-14,service-6,service-7,cross-region,769.13,15.38
2026-01-14,service-7,service-8,internet-egress,1751.41,78.81
2026-01-14,service-8,service-9,VPC-peering,1613.5,16.13
2026-01-14,service-9,service-10,cross-AZ,513.22,5.13
2026-01-14,service-10,service-11,cross-region,489.15,9.78
2026-01-14,service-11,service-12,internet-egress,1413.24,63.6
2026-01-14,service-12,service-1,VPC-peering,1682.65,16.83
2026-01-14,service-1,service-2,cross-AZ,2408.59,24.09
2026-01-14,service-2,service-3,cross-region,1112.63,22.25
2026-01-14,service-3,service-4,internet-egress,1935.85,87.11
2026-01-14,service-4,service-5,VPC-peering,379.65,3.8
2026-01-14,service-5,service-6,cross-AZ,2235.06,22.35
2026-01-14,service-6,service-7,cross-region,1619.46,32.39
2026-01-14,service-7,service-8,internet-egress,1609.67,72.44
2026-01-14,service-8,service-9,VPC-peering,441.86,4.42
2026-01-15,service-1,service-2,cross-AZ,195.0,1.95
2026-01-15,service-2,service-3,cross-region,1783.48,35.67
2026-01-15,service-3,service-4,internet-egress,380.94,17.14
2026-01-15,service-4,service-5,VPC-peering,404.73,4.05
2026-01-15,service-5,service-6,cross-AZ,550.0,5.5
2026-01-15,service-6,service-7,cross-region,334.59,6.69
2026-01-15,service-7,service-8,internet-egress,1600.94,72.04
2026-01-15,service-8,service-9,VPC-peering,1112.81,11.13
2026-01-15,service-9,service-10,cross-AZ,738.63,7.39
2026-01-15,service-10,service-11,cross-region,1157.8,23.16
2026-01-15,service-11,service-12,internet-egress,2125.94,95.67
2026-01-15,service-12,service-1,VPC-peering,2324.99,23.25
2026-01-15,service-1,service-2,cross-AZ,1269.94,12.7
2026-01-15,service-2,service-3,cross-region,1460.21,29.2
2026-01-15,service-3,service-4,internet-egress,717.28,32.28
2026-01-15,service-4,service-5,VPC-peering,1332.64,13.33
2026-01-15,service-5,service-6,cross-AZ,1895.49,18.95
2026-01-15,service-6,service-7,cross-region,1281.13,25.62
2026-01-15,service-7,service-8,internet-egress,824.97,37.12
2026-01-15,service-8,service-9,VPC-peering,1496.88,14.97
2026-01-16,service-1,service-2,cross-AZ,2371.97,23.72
2026-01-16,service-2,service-3,cross-region,2231.16,44.62
2026-01-16,service-3,service-4,internet-egress,1946.18,87.58
2026-01-16,service-4,service-5,VPC-peering,762.9,7.63
2026-01-16,service-5,service-6,cross-AZ,679.74,6.8
2026-01-16,service-6,service-7,cross-region,2112.49,42.25
2026-01-16,service-7,service-8,internet-egress,535.16,24.08
2026-01-16,service-8,service-9,VPC-peering,1553.47,15.53
2026-01-16,service-9,service-10,cross-AZ,1153.43,11.53
2026-01-16,service-10,service-11,cross-region,1223.17,24.46
2026-01-16,service-11,service-12,internet-egress,1190.9,53.59
2026-01-16,service-12,service-1,VPC-peering,2259.88,22.6
2026-01-16,service-1,service-2,cross-AZ,309.03,3.09
2026-01-16,service-2,service-3,cross-region,1978.96,39.58
2026-01-16,service-3,service-4,internet-egress,2104.03,94.68
2026-01-16,service-4,service-5,VPC-peering,2362.91,23.63
2026-01-16,service-5,service-6,cross-AZ,1186.24,11.86
2026-01-16,service-6,service-7,cross-region,1300.16,26.0
2026-01-16,service-7,service-8,internet-egress,2407.11,108.32
2026-01-16,service-8,service-9,VPC-peering,1200.28,12.0
2026-01-17,service-1,service-2,cross-AZ,1308.52,13.09
2026-01-17,service-2,service-3,cross-region,897.41,17.95
2026-01-17,service-3,service-4,internet-egress,175.91,7.92
2026-01-17,service-4,service-5,VPC-peering,1139.33,11.39
2026-01-17,service-5,service-6,cross-AZ,1672.22,16.72
2026-01-17,service-6,service-7,cross-region,1755.87,35.12
2026-01-17,service-7,service-8,internet-egress,115.62,5.2
2026-01-17,service-8,service-9,VPC-peering,2022.53,20.23
2026-01-17,service-9,service-10,cross-AZ,1281.8,12.82
2026-01-17,service-10,service-11,cross-region,1349.79,27.0
2026-01-17,service-11,service-12,internet-egress,2408.18,108.37
2026-01-17,service-12,service-1,VPC-peering,782.71,7.83
2026-01-17,service-1,service-2,cross-AZ,1927.96,19.28
2026-01-17,service-2,service-3,cross-region,1479.46,29.59
2026-01-17,service-3,service-4,internet-egress,1781.92,80.19
2026-01-17,service-4,service-5,VPC-peering,1102.76,11.03
2026-01-17,service-5,service-6,cross-AZ,770.1,7.7
2026-01-17,service-6,service-7,cross-region,1410.7,28.21
2026-01-17,service-7,service-8,internet-egress,999.86,44.99
2026-01-17,service-8,service-9,VPC-peering,634.99,6.35
2026-01-18,service-1,service-2,cross-AZ,2114.17,21.14
2026-01-18,service-2,service-3,cross-region,1242.0,24.84
2026-01-18,service-3,service-4,internet-egress,2133.56,96.01
2026-01-18,service-4,service-5,VPC-peering,1237.68,12.38
2026-01-18,service-5,service-6,cross-AZ,1436.31,14.36
2026-01-18,service-6,service-7,cross-region,2488.67,49.77
2026-01-18,service-7,service-8,internet-egress,2383.61,107.26
2026-01-18,service-8,service-9,VPC-peering,752.06,7.52
2026-01-18,service-9,service-10,cross-AZ,2184.77,21.85
2026-01-18,service-10,service-11,cross-region,1036.97,20.74
2026-01-18,service-11,service-12,internet-egress,271.0,12.19
2026-01-18,service-12,service-1,VPC-peering,1481.87,14.82
2026-01-18,service-1,service-2,cross-AZ,2444.92,24.45
2026-01-18,service-2,service-3,cross-region,2438.35,48.77
2026-01-18,service-3,service-4,internet-egress,403.52,18.16
2026-01-18,service-4,service-5,VPC-peering,1950.97,19.51
2026-01-18,service-5,service-6,cross-AZ,2026.8,20.27
2026-01-18,service-6,service-7,cross-region,984.99,19.7
2026-01-18,service-7,service-8,internet-egress,1680.63,75.63
2026-01-18,service-8,service-9,VPC-peering,1271.58,12.72
2026-01-19,service-1,service-2,cross-AZ,646.94,6.47
2026-01-19,service-2,service-3,cross-region,1927.03,38.54
2026-01-19,service-3,service-4,internet-egress,730.61,32.88
2026-01-19,service-4,service-5,VPC-peering,917.07,9.17
2026-01-19,service-5,service-6,cross-AZ,556.04,5.56
2026-01-19,service-6,service-7,cross-region,1826.25,36.53
2026-01-19,service-7,service-8,internet-egress,1200.94,54.04
2026-01-19,service-8,service-9,VPC-peering,1164.1,11.64
2026-01-19,service-9,service-10,cross-AZ,1550.95,15.51
2026-01-19,service-10,service-11,cross-region,477.43,9.55
2026-01-19,service-11,service-12,internet-egress,2255.57,101.5
2026-01-19,service-12,service-1,VPC-peering,1216.26,12.16
2026-01-19,service-1,service-2,cross-AZ,979.66,9.8
2026-01-19,service-2,service-3,cross-region,404.06,8.08
2026-01-19,service-3,service-4,internet-egress,503.09,22.64
2026-01-19,service-4,service-5,VPC-peering,2308.86,23.09
2026-01-19,service-5,service-6,cross-AZ,1195.88,11.96
2026-01-19,service-6,service-7,cross-region,1833.24,36.66
2026-01-19,service-7,service-8,internet-egress,293.24,13.2
2026-01-19,service-8,service-9,VPC-peering,1644.31,16.44
2026-01-20,service-1,service-2,cross-AZ,2311.65,23.12
2026-01-20,service-2,service-3,cross-region,819.91,16.4
2026-01-20,service-3,service-4,internet-egress,1489.94,67.05
2026-01-20,service-4,service-5,VPC-peering,2356.53,23.57
2026-01-20,service-5,service-6,cross-AZ,1826.37,18.26
2026-01-20,service-6,service-7,cross-region,249.58,4.99
2026-01-20,service-7,service-8,internet-egress,1008.97,45.4
2026-01-20,service-8,service-9,VPC-peering,305.85,3.06
2026-01-20,service-9,service-10,cross-AZ,2167.16,21.67
2026-01-20,service-10,service-11,cross-region,1591.99,31.84
2026-01-20,service-11,service-12,internet-egress,2395.32,107.79
2026-01-20,service-12,service-1,VPC-peering,147.42,1.47
2026-01-20,service-1,service-2,cross-AZ,1115.41,11.15
2026-01-20,service-2,service-3,cross-region,350.47,7.01
2026-01-20,service-3,service-4,internet-egress,941.17,42.35
2026-01-20,service-4,service-5,VPC-peering,488.53,4.89
2026-01-20,service-5,service-6,cross-AZ,889.11,8.89
2026-01-20,service-6,service-7,cross-region,2066.23,41.32
2026-01-20,service-7,service-8,internet-egress,485.68,21.86
2026-01-20,service-8,service-9,VPC-peering,1236.8,12.37
2026-01-21,service-1,service-2,cross-AZ,2311.8,23.12
2026-01-21,service-2,service-3,cross-region,2497.07,49.94
2026-01-21,service-3,service-4,internet-egress,701.54,31.57
2026-01-21,service-4,service-5,VPC-peering,2345.36,23.45
2026-01-21,service-5,service-6,cross-AZ,727.33,7.27
2026-01-21,service-6,service-7,cross-region,1092.47,21.85
2026-01-21,service-7,service-8,internet-egress,2207.02,99.32
2026-01-21,service-8,service-9,VPC-peering,1986.82,19.87
2026-01-21,service-9,service-10,cross-AZ,2157.97,21.58
2026-01-21,service-10,service-11,cross-region,2020.62,40.41
2026-01-21,service-11,service-12,internet-egress,664.15,29.89
2026-01-21,service-12,service-1,VPC-peering,1441.11,14.41
2026-01-21,service-1,service-2,cross-AZ,1024.6,10.25
2026-01-21,service-2,service-3,cross-region,1203.31,24.07
2026-01-21,service-3,service-4,internet-egress,469.5,21.13
2026-01-21,service-4,service-5,VPC-peering,857.84,8.58
2026-01-21,service-5,service-6,cross-AZ,2158.35,21.58
2026-01-21,service-6,service-7,cross-region,2254.14,45.08
2026-01-21,service-7,service-8,internet-egress,1564.37,70.4
2026-01-21,service-8,service-9,VPC-peering,1295.84,12.96
2026-01-22,service-1,service-2,cross-AZ,1810.82,18.11
2026-01-22,service-2,service-3,cross-region,1561.25,31.22
2026-01-22,service-3,service-4,internet-egress,2460.82,110.74
2026-01-22,service-4,service-5,VPC-peering,556.21,5.56
2026-01-22,service-5,service-6,cross-AZ,1177.71,11.78
2026-01-22,service-6,service-7,cross-region,2303.78,46.08
2026-01-22,service-7,service-8,internet-egress,2295.37,103.29
2026-01-22,service-8,service-9,VPC-peering,1288.83,12.89
2026-01-22,service-9,service-10,cross-AZ,423.54,4.24
2026-01-22,service-10,service-11,cross-region,2055.9,41.12
2026-01-22,service-11,service-12,internet-egress,1504.4,67.7
2026-01-22,service-12,service-1,VPC-peering,1955.6,19.56
2026-01-22,service-1,service-2,cross-AZ,1210.06,12.1
2026-01-22,service-2,service-3,cross-region,589.32,11.79
2026-01-22,service-3,service-4,internet-egress,157.57,7.09
2026-01-22,service-4,service-5,VPC-peering,1441.93,14.42
2026-01-22,service-5,service-6,cross-AZ,486.51,4.87
2026-01-22,service-6,service-7,cross-region,549.13,10.98
2026-01-22,service-7,service-8,internet-egress,1147.13,51.62
2026-01-22,service-8,service-9,VPC-peering,1160.98,11.61
2026-01-23,service-1,service-2,cross-AZ,758.53,7.59
2026-01-23,service-2,service-3,cross-region,416.61,8.33
2026-01-23,service-3,service-4,internet-egress,2367.89,106.55
2026-01-23,service-4,service-5,VPC-peering,415.94,4.16
2026-01-23,service-5,service-6,cross-AZ,941.85,9.42
2026-01-23,service-6,service-7,cross-region,831.68,16.63
2026-01-23,service-7,service-8,internet-egress,2179.21,98.06
2026-01-23,service-8,service-9,VPC-peering,1084.15,10.84
2026-01-23,service-9,service-10,cross-AZ,397.7,3.98
2026-01-23,service-10,service-11,cross-region,124.63,2.49
2026-01-23,service-11,service-12,internet-egress,1832.68,82.47
2026-01-23,service-12,service-1,VPC-peering,1814.8,18.15
2026-01-23,service-1,service-2,cross-AZ,1102.68,11.03
2026-01-23,service-2,service-3,cross-region,403.14,8.06
2026-01-23,service-3,service-4,internet-egress,991.92,44.64
2026-01-23,service-4,service-5,VPC-peering,1515.72,15.16
2026-01-23,service-5,service-6,cross-AZ,1789.46,17.89
2026-01-23,service-6,service-7,cross-region,287.78,5.76
2026-01-23,service-7,service-8,internet-egress,1435.14,64.58
2026-01-23,service-8,service-9,VPC-peering,762.7,7.63
2026-01-24,service-1,service-2,cross-AZ,1581.44,15.81
2026-01-24,service-2,service-3,cross-region,1655.54,33.11
2026-01-24,service-3,service-4,internet-egress,2285.45,102.85
2026-01-24,service-4,service-5,VPC-peering,1084.91,10.85
2026-01-24,service-5,service-6,cross-AZ,1390.22,13.9
2026-01-24,service-6,service-7,cross-region,743.72,14.87
