date,service,resource_type,resource_id,cost,tags,region
2026-01-18,EC2,EC2,ec2-001,73.1,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-19,EC2,EC2,ec2-001,66.69,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-20,EC2,EC2,ec2-001,64.43,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-21,EC2,EC2,ec2-001,81.6,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-22,EC2,EC2,ec2-001,71.69,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-23,EC2,EC2,ec2-001,73.83,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-24,EC2,EC2,ec2-001,65.9,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-25,EC2,EC2,ec2-001,71.12,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-26,EC2,EC2,ec2-001,75.38,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-27,EC2,EC2,ec2-001,68.53,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-28,EC2,EC2,ec2-001,77.88,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-29,EC2,EC2,ec2-001,72.44,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-30,EC2,EC2,ec2-001,74.67,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-31,EC2,EC2,ec2-001,73.25,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-01,EC2,EC2,ec2-001,114.52,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-02,EC2,EC2,ec2-001,99.19,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-03,EC2,EC2,ec2-001,91.74,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-04,EC2,EC2,ec2-001,107.22,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-05,EC2,EC2,ec2-001,91.55,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-06,EC2,EC2,ec2-001,103.2,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-07,EC2,EC2,ec2-001,87.23,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-08,EC2,EC2,ec2-001,92.24,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-09,EC2,EC2,ec2-001,104.77,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-10,EC2,EC2,ec2-001,109.99,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-11,EC2,EC2,ec2-001,105.67,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-12,EC2,EC2,ec2-001,103.81,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-13,EC2,EC2,ec2-001,102.82,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-14,EC2,EC2,ec2-001,94.06,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-15,EC2,EC2,ec2-001,100.46,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-16,EC2,EC2,ec2-001,103.1,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-17,EC2,EC2,ec2-001,117.0,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-18,EC2,EC2,ec2-001,111.08,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-19,EC2,EC2,ec2-001,94.32,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-20,EC2,EC2,ec2-001,112.03,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-21,EC2,EC2,ec2-001,106.38,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-22,EC2,EC2,ec2-001,104.44,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-23,EC2,EC2,ec2-001,116.36,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-24,EC2,EC2,ec2-001,120.93,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-25,EC2,EC2,ec2-001,120.56,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-26,EC2,EC2,ec2-001,105.15,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-27,EC2,EC2,ec2-001,110.24,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-02-28,EC2,EC2,ec2-001,116.59,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-01,EC2,EC2,ec2-001,130.43,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-02,EC2,EC2,ec2-001,116.66,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-03,EC2,EC2,ec2-001,120.0,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-04,EC2,EC2,ec2-001,112.01,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-05,EC2,EC2,ec2-001,111.74,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-06,EC2,EC2,ec2-001,131.84,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-07,EC2,EC2,ec2-001,138.34,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-08,EC2,EC2,ec2-001,123.98,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-09,EC2,EC2,ec2-001,135.75,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-10,EC2,EC2,ec2-001,129.55,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-11,EC2,EC2,ec2-001,120.08,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-12,EC2,EC2,ec2-001,130.74,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-13,EC2,EC2,ec2-001,144.3,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-14,EC2,EC2,ec2-001,127.81,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-15,EC2,EC2,ec2-001,145.92,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-16,EC2,EC2,ec2-001,104.88,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-17,EC2,EC2,ec2-001,138.74,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-18,EC2,EC2,ec2-001,131.4,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-19,EC2,EC2,ec2-001,127.97,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-20,EC2,EC2,ec2-001,132.62,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-21,EC2,EC2,ec2-001,112.79,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-22,EC2,EC2,ec2-001,130.5,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-23,EC2,EC2,ec2-001,137.26,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-24,EC2,EC2,ec2-001,150.78,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-25,EC2,EC2,ec2-001,129.08,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-26,EC2,EC2,ec2-001,126.67,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-27,EC2,EC2,ec2-001,130.37,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-28,EC2,EC2,ec2-001,146.64,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-29,EC2,EC2,ec2-001,140.51,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-30,EC2,EC2,ec2-001,131.74,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-03-31,EC2,EC2,ec2-001,143.81,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-01,EC2,EC2,ec2-001,167.92,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-02,EC2,EC2,ec2-001,180.8,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-03,EC2,EC2,ec2-001,158.84,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-04,EC2,EC2,ec2-001,164.35,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-05,EC2,EC2,ec2-001,164.18,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-06,EC2,EC2,ec2-001,151.31,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-07,EC2,EC2,ec2-001,174.9,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-08,EC2,EC2,ec2-001,175.12,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-09,EC2,EC2,ec2-001,172.27,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-10,EC2,EC2,ec2-001,169.68,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-11,EC2,EC2,ec2-001,155.01,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-12,EC2,EC2,ec2-001,168.52,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-13,EC2,EC2,ec2-001,170.25,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-14,EC2,EC2,ec2-001,164.76,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-15,EC2,EC2,ec2-001,174.12,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-16,EC2,EC2,ec2-001,182.89,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-17,EC2,EC2,ec2-001,206.72,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-18,EC2,EC2,ec2-001,180.98,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-19,EC2,EC2,ec2-001,182.89,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-20,EC2,EC2,ec2-001,178.79,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-21,EC2,EC2,ec2-001,154.86,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-22,EC2,EC2,ec2-001,180.87,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-23,EC2,EC2,ec2-001,182.83,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-24,EC2,EC2,ec2-001,222.43,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-25,EC2,EC2,ec2-001,180.54,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-26,EC2,EC2,ec2-001,188.53,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-04-27,EC2,EC2,ec2-001,184.23,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
