resource_id,type,size_gb,storage_class,last_accessed,monthly_cost
stor-0082,S3,500,Standard,2025-08-15,11.5
stor-0083,EBS,100,gp3,2026-06-15,8.0
stor-0084,EFS,2000,Standard,2025-12-19,600.0
stor-0085,S3,1000,Standard,2025-08-15,23.0
stor-0086,EBS,500,gp3,2026-06-15,40.0
stor-0087,EFS,100,Standard,2026-04-03,30.0
stor-0088,S3,250,Standard,2025-08-15,5.75
stor-0089,EBS,100,gp2,2026-06-15,8.0
stor-0090,EFS,500,Standard,2026-04-07,150.0
stor-0091,S3,50,Standard,2025-08-15,1.15
stor-0092,EBS,500,gp3,2026-06-15,40.0
stor-0093,EFS,500,Standard,2026-04-03,150.0
stor-0094,S3,50,STANDARD_IA,2025-08-15,1.15
stor-0095,EBS,1000,gp2,2026-06-15,80.0
stor-0096,EFS,100,Standard,2025-12-21,30.0
stor-0097,S3,250,Glacier,2025-08-15,5.75
stor-0098,EBS,100,gp2,2026-06-15,8.0
stor-0099,EFS,1000,Standard,2026-04-13,300.0
stor-0100,S3,1000,STANDARD_IA,2025-08-15,23.0
stor-0101,EBS,1000,gp3,2026-06-15,80.0
stor-0102,EFS,100,Standard,2026-04-22,30.0
stor-0103,S3,1000,STANDARD_IA,2026-05-15,23.0
stor-0104,EBS,1000,gp3,2026-06-15,80.0
stor-0105,EFS,100,Standard,2026-04-22,30.0
stor-0106,S3,500,STANDARD_IA,2026-01-05,11.5
stor-0107,EBS,1000,gp2,2026-06-15,80.0
stor-0108,EFS,100,Standard,2026-03-05,30.0
stor-0109,S3,50,Standard,2026-06-17,1.15
stor-0110,EBS,1000,gp3,2026-06-15,80.0
stor-0111,EFS,500,Standard,2026-01-11,150.0
stor-0112,S3,1000,Glacier,2026-02-24,23.0
stor-0113,EBS,1000,gp3,2026-06-15,80.0
stor-0114,EFS,500,Standard,2025-12-27,150.0
stor-0115,S3,50,Standard,2026-04-22,1.15
stor-0116,EBS,1000,gp3,2026-06-15,80.0
stor-0117,EFS,1000,Standard,2026-01-29,300.0
stor-0118,S3,500,Standard,2026-06-04,11.5
stor-0119,EBS,1000,gp3,2026-06-15,80.0
stor-0120,EFS,2000,Standard,2026-04-01,600.0
stor-0121,S3,1000,Standard,2026-03-25,23.0
stor-0122,EBS,1000,gp3,2026-06-15,80.0
stor-0123,EFS,100,Standard,2026-04-04,30.0
stor-0124,S3,2000,Standard,2026-03-02,46.0
stor-0125,EBS,1000,gp3,2026-06-15,80.0
stor-0126,EFS,1000,Standard,2026-02-27,300.0
stor-0127,S3,1000,Standard,2026-02-09,23.0
stor-0128,EBS,1000,gp3,2026-06-15,80.0
stor-0129,EFS,2000,Standard,2026-03-27,600.0
stor-0130,S3,50,STANDARD_IA,2026-06-18,1.15
stor-0131,EBS,1000,gp3,2026-06-15,80.0
stor-0132,EFS,500,Standard,2026-03-01,150.0
stor-0133,S3,100,STANDARD_IA,2026-01-24,2.3
stor-0134,EBS,1000,gp2,2026-06-15,80.0
stor-0135,EFS,500,Standard,2026-04-18,150.0
stor-0136,S3,250,Standard,2026-01-17,5.75
stor-0137,EBS,1000,gp2,2026-06-15,80.0
stor-0138,EFS,2000,Standard,2026-03-03,600.0
stor-0139,S3,1000,Standard,2026-01-24,23.0
stor-0140,EBS,1000,gp3,2026-06-15,80.0
stor-0141,EFS,2000,Standard,2025-12-11,600.0
stor-0142,S3,250,STANDARD_IA,2026-02-24,5.75
stor-0143,EBS,1000,gp2,2026-06-15,80.0
stor-0144,EFS,1000,Standard,2025-12-02,300.0
stor-0145,S3,500,Standard,2026-03-04,11.5
stor-0146,EBS,1000,gp2,2026-06-15,80.0
stor-0147,EFS,500,Standard,2026-02-21,150.0
stor-0148,S3,100,Glacier,2026-04-17,2.3
stor-0149,EBS,1000,gp3,2026-06-15,80.0
stor-0150,EFS,100,Standard,2026-03-22,30.0
stor-0151,S3,100,Standard,2026-01-15,2.3
stor-0152,EBS,1000,gp2,2026-06-15,80.0
stor-0153,EFS,2000,Standard,2026-05-29,600.0
stor-0154,S3,100,Standard,2026-06-18,2.3
stor-0155,EBS,1000,gp3,2026-06-15,80.0
stor-0156,EFS,100,Standard,2026-02-22,30.0
stor-0157,S3,250,Standard,2026-03-27,5.75
stor-0158,EBS,1000,gp3,2026-06-15,80.0
stor-0159,EFS,1000,Standard,2025-12-31,300.0
stor-0160,S3,50,Standard,2026-01-07,1.15
stor-0161,EBS,1000,gp3,2026-06-15,80.0
stor-0162,EFS,2000,Standard,2025-12-10,600.0
stor-0163,S3,250,Standard,2026-05-07,5.75
stor-0164,EBS,1000,gp3,2026-06-15,80.0
stor-0165,EFS,1000,Standard,2026-02-08,300.0
stor-0166,S3,250,Standard,2026-06-13,5.75
stor-0167,EBS,1000,gp3,2026-06-15,80.0
stor-0168,EFS,1000,Standard,2026-04-25,300.0
stor-0169,S3,500,STANDARD_IA,2026-01-11,11.5
stor-0170,EBS,1000,gp3,2026-06-15,80.0
stor-0171,EFS,1000,Standard,2025-12-18,300.0
stor-0172,S3,250,Standard,2026-02-03,5.75
stor-0173,EBS,1000,gp3,2026-06-15,80.0
stor-0174,EFS,100,Standard,2026-04-16,30.0
stor-0175,S3,500,Standard,2026-04-01,11.5
stor-0176,EBS,1000,gp3,2026-06-15,80.0
stor-0177,EFS,1000,Standard,2026-02-09,300.0
stor-0178,S3,1000,Standard,2026-02-22,23.0
stor-0179,EBS,1000,gp3,2026-06-15,80.0
stor-0180,EFS,1000,Standard,2025-12-19,300.0
stor-0181,S3,100,Standard,2026-01-01,2.3
stor-0182,EBS,250,gp3,2026-06-15,20.0
stor-0183,EFS,1000,Standard,2026-04-06,300.0
stor-0184,S3,1000,Standard,2026-05-31,23.0
stor-0185,EBS,100,gp3,2026-06-15,8.0
stor-0186,EFS,500,Standard,2026-03-24,150.0
stor-0187,S3,50,Glacier,2026-05-26,1.15
stor-0188,EBS,100,gp2,2026-06-15,8.0
stor-0189,EFS,500,Standard,2026-05-11,150.0
stor-0190,S3,1000,Standard,2026-06-06,23.0
stor-0191,EBS,250,gp2,2026-06-15,20.0
stor-0192,EFS,500,Standard,2026-01-21,150.0
stor-0193,S3,100,STANDARD_IA,2026-03-02,2.3
stor-0194,EBS,1000,gp3,2026-06-15,80.0
stor-0195,EFS,100,Standard,2026-05-29,30.0
stor-0196,S3,100,Standard,2026-02-20,2.3
stor-0197,EBS,1000,gp3,2026-06-15,80.0
stor-0198,EFS,2000,Standard,2025-12-11,600.0
stor-0199,S3,500,Standard,2026-02-03,11.5
stor-0200,EBS,100,gp2,2026-06-15,8.0
stor-0201,EFS,1000,Standard,2025-12-21,300.0
stor-0202,S3,50,STANDARD_IA,2026-01-21,1.15
stor-0203,EBS,1000,gp2,2026-06-15,80.0
stor-0204,EFS,500,Standard,2026-02-17,150.0
stor-0205,S3,50,STANDARD_IA,2026-03-17,1.15
stor-0206,EBS,500,gp2,2026-06-15,40.0
stor-0207,EFS,100,Standard,2026-03-17,30.0
stor-0208,S3,50,Glacier,2026-06-11,1.15
stor-0209,EBS,100,gp3,2026-06-15,8.0
stor-0210,EFS,100,Standard,2026-01-20,30.0
stor-0211,S3,50,STANDARD_IA,2026-06-05,1.15
stor-0212,EBS,500,gp3,2026-06-15,40.0
stor-0213,EFS,1000,Standard,2026-05-03,300.0
stor-0214,S3,2000,Standard,2026-04-03,46.0
stor-0215,EBS,1000,gp2,2026-06-15,80.0
stor-0216,EFS,500,Standard,2026-05-04,150.0
stor-0217,S3,50,Standard,2026-04-04,1.15
stor-0218,EBS,500,gp3,2026-06-15,40.0
stor-0219,EFS,500,Standard,2026-03-14,150.0
stor-0220,S3,500,Glacier,2026-03-17,11.5
stor-0221,EBS,100,gp3,2026-06-15,8.0
stor-0222,EFS,2000,Standard,2026-02-19,600.0
stor-0223,S3,50,Standard,2026-04-11,1.15
stor-0224,EBS,100,gp3,2026-06-15,8.0
stor-0225,EFS,500,Standard,2026-01-17,150.0
stor-0226,S3,250,Standard,2026-04-05,5.75
stor-0227,EBS,500,gp2,2026-06-15,40.0
stor-0228,EFS,500,Standard,2026-03-24,150.0
stor-0229,S3,100,STANDARD_IA,2026-01-02,2.3
stor-0230,EBS,250,gp3,2026-06-15,20.0
stor-0231,EFS,500,Standard,2026-03-27,150.0
stor-0232,S3,2000,Standard,2026-02-10,46.0
stor-0233,EBS,500,gp2,2026-06-15,40.0
stor-0234,EFS,500,Standard,2026-02-25,150.0
stor-0235,S3,1000,Glacier,2026-02-18,23.0
stor-0236,EBS,1000,gp3,2026-06-15,80.0
stor-0237,EFS,2000,Standard,2026-05-13,600.0
stor-0238,S3,2000,Standard,2026-05-01,46.0
stor-0239,EBS,1000,gp3,2026-06-15,80.0
stor-0240,EFS,500,Standard,2026-01-24,150.0
stor-0241,S3,50,Standard,2026-02-03,1.15
stor-0242,EBS,100,gp3,2026-06-15,8.0
stor-0243,EFS,2000,Standard,2026-05-23,600.0
stor-0244,S3,500,Standard,2026-03-02,11.5
stor-0245,EBS,250,gp3,2026-06-15,20.0
stor-0246,EFS,100,Standard,2026-04-18,30.0
stor-0247,S3,500,STANDARD_IA,2026-05-27,11.5
stor-0248,EBS,100,gp3,2026-06-15,8.0
stor-0249,EFS,2000,Standard,2026-01-28,600.0
stor-0250,S3,100,Standard,2026-05-30,2.3
stor-0251,EBS,500,gp3,2026-06-15,40.0
stor-0252,EFS,100,Standard,2026-05-06,30.0
stor-0253,S3,1000,Glacier,2026-03-16,23.0
stor-0254,EBS,500,gp2,2026-06-15,40.0
stor-0255,EFS,1000,Standard,2026-05-14,300.0
stor-0256,S3,2000,STANDARD_IA,2026-06-14,46.0
stor-0257,EBS,100,gp2,2026-06-15,8.0
stor-0258,EFS,100,Standard,2026-03-30,30.0
stor-0259,S3,500,Glacier,2026-06-24,11.5
stor-0260,EBS,100,gp3,2026-06-15,8.0
stor-0261,EFS,1000,Standard,2026-03-23,300.0
stor-0262,S3,1000,Standard,2026-05-04,23.0
stor-0263,EBS,100,gp2,2026-06-15,8.0
stor-0264,EFS,500,Standard,2026-04-26,150.0
stor-0265,S3,50,STANDARD_IA,2026-04-09,1.15
stor-0266,EBS,500,gp3,2026-06-15,40.0
stor-0267,EFS,2000,Standard,2026-04-21,600.0
stor-0268,S3,50,STANDARD_IA,2026-03-16,1.15
stor-0269,EBS,100,gp2,2026-06-15,8.0
stor-0270,EFS,100,Standard,2026-02-06,30.0
stor-0271,S3,1000,Standard,2026-05-13,23.0
stor-0272,EBS,1000,gp3,2026-06-15,80.0
stor-0273,EFS,500,Standard,2026-01-01,150.0
stor-0274,S3,100,Standard,2026-05-18,2.3
stor-0275,EBS,500,gp2,2026-06-15,40.0
stor-0276,EFS,500,Standard,2026-02-10,150.0
stor-0277,S3,2000,Standard,2026-03-14,46.0
stor-0278,EBS,250,gp3,2026-06-15,20.0
stor-0279,EFS,2000,Standard,2026-03-09,600.0
stor-0280,S3,2000,Glacier,2026-05-08,46.0
stor-0281,EBS,1000,gp2,2026-06-15,80.0
stor-0282,EFS,2000,Standard,2026-02-23,600.0
stor-0283,S3,50,STANDARD_IA,2026-05-31,1.15
stor-0284,EBS,1000,gp3,2026-06-15,80.0
stor-0285,EFS,2000,Standard,2026-05-03,600.0
stor-0286,S3,1000,Glacier,2026-02-06,23.0
stor-0287,EBS,100,gp3,2026-06-15,8.0
stor-0288,EFS,100,Standard,2026-05-18,30.0
stor-0289,S3,100,Standard,2026-04-05,2.3
stor-0290,EBS,1000,gp3,2026-06-15,80.0
stor-0291,EFS,100,Standard,2025-12-14,30.0
stor-0292,S3,500,Standard,2026-02-22,11.5
stor-0293,EBS,100,gp3,2026-06-15,8.0
stor-0294,EFS,2000,Standard,2025-12-14,600.0
stor-0295,S3,500,Standard,2026-06-19,11.5
stor-0296,EBS,250,gp3,2026-06-15,20.0
stor-0297,EFS,500,Standard,2025-12-13,150.0
stor-0298,S3,1000,Standard,2026-06-09,23.0
stor-0299,EBS,500,gp2,2026-06-15,40.0
stor-0300,EFS,100,Standard,2026-04-01,30.0
stor-0301,S3,100,Standard,2026-03-31,2.3
stor-0302,EBS,500,gp3,2026-06-15,40.0
stor-0303,EFS,500,Standard,2026-05-11,150.0
stor-0304,S3,500,Standard,2026-02-11,11.5
stor-0305,EBS,1000,gp3,2026-06-15,80.0
stor-0306,EFS,500,Standard,2026-04-27,150.0
stor-0307,S3,2000,Standard,2026-06-19,46.0
stor-0308,EBS,1000,gp3,2026-06-15,80.0
stor-0309,EFS,100,Standard,2025-12-03,30.0
stor-0310,S3,500,Standard,2026-02-26,11.5
stor-0311,EBS,500,gp3,2026-06-15,40.0
stor-0312,EFS,100,Standard,2026-02-24,30.0
stor-0313,S3,50,Standard,2026-03-29,1.15
stor-0314,EBS,250,gp3,2026-06-15,20.0
stor-0315,EFS,500,Standard,2026-01-08,150.0
stor-0316,S3,2000,STANDARD_IA,2026-02-08,46.0
stor-0317,EBS,1000,gp3,2026-06-15,80.0
stor-0318,EFS,100,Standard,2026-05-06,30.0
stor-0319,S3,1000,Standard,2026-03-07,23.0
stor-0320,EBS,500,gp3,2026-06-15,40.0
stor-0321,EFS,500,Standard,2026-02-21,150.0
stor-0322,S3,100,Standard,2026-05-29,2.3
stor-0323,EBS,100,gp2,2026-06-15,8.0
stor-0324,EFS,100,Standard,2026-03-11,30.0
stor-0325,S3,500,Standard,2026-03-18,11.5
stor-0326,EBS,100,gp2,2026-06-15,8.0
stor-0327,EFS,2000,Standard,2026-05-06,600.0
stor-0328,S3,100,Standard,2026-01-20,2.3
stor-0329,EBS,100,gp3,2026-06-15,8.0
stor-0330,EFS,100,Standard,2026-04-08,30.0
stor-0331,S3,250,Glacier,2026-04-19,5.75
stor-0332,EBS,250,gp3,2026-06-15,20.0
stor-0333,EFS,1000,Standard,2025-12-24,300.0
stor-0334,S3,50,STANDARD_IA,2026-05-14,1.15
stor-0335,EBS,100,gp3,2026-06-15,8.0
stor-0336,EFS,100,Standard,2026-01-10,30.0
stor-0337,S3,500,Standard,2026-04-19,11.5
stor-0338,EBS,500,gp3,2026-06-15,40.0
stor-0339,EFS,100,Standard,2026-03-23,30.0
stor-0340,S3,1000,Standard,2026-03-02,23.0
stor-0341,EBS,250,gp2,2026-06-15,20.0
stor-0342,EFS,100,Standard,2026-05-23,30.0
stor-0343,S3,1000,Standard,2026-03-20,23.0
stor-0344,EBS,250,gp2,2026-06-15,20.0
stor-0345,EFS,100,Standard,2026-03-28,30.0
stor-0346,S3,100,Standard,2026-04-25,2.3
stor-0347,EBS,500,gp3,2026-06-15,40.0
stor-0348,EFS,1000,Standard,2026-01-12,300.0
stor-0349,S3,500,Standard,2026-02-17,11.5
stor-0350,EBS,1000,gp2,2026-06-15,80.0
stor-0351,EFS,1000,Standard,2026-02-27,300.0
stor-0352,S3,2000,STANDARD_IA,2026-06-07,46.0
stor-0353,EBS,100,gp3,2026-06-15,8.0
stor-0354,EFS,500,Standard,2026-02-13,150.0
stor-0355,S3,100,Standard,2026-03-20,2.3
stor-0356,EBS,250,gp3,2026-06-15,20.0
stor-0357,EFS,100,Standard,2026-02-04,30.0
stor-0358,S3,250,Standard,2026-05-23,5.75
stor-0359,EBS,1000,gp2,2026-06-15,80.0
stor-0360,EFS,500,Standard,2026-01-18,150.0
stor-0361,S3,250,STANDARD_IA,2026-03-23,5.75
stor-0362,EBS,100,gp2,2026-06-15,8.0
stor-0363,EFS,1000,Standard,2026-04-09,300.0
stor-0364,S3,2000,Standard,2026-04-27,46.0
stor-0365,EBS,250,gp2,2026-06-15,20.0
stor-0366,EFS,2000,Standard,2026-02-23,600.0
stor-0367,S3,250,Standard,2026-05-20,5.75
stor-0368,EBS,250,gp3,2026-06-15,20.0
stor-0369,EFS,2000,Standard,2026-03-14,600.0
stor-0370,S3,250,Glacier,2026-03-18,5.75
stor-0371,EBS,250,gp3,2026-06-15,20.0
stor-0372,EFS,100,Standard,2026-05-05,30.0
stor-0373,S3,2000,Standard,2026-03-29,46.0
stor-0374,EBS,100,gp3,2026-06-15,8.0
stor-0375,EFS,100,Standard,2026-02-03,30.0
stor-0376,S3,500,Standard,2026-04-21,11.5
stor-0377,EBS,100,gp2,2026-06-15,8.0
stor-0378,EFS,100,Standard,2026-01-05,30.0
stor-0379,S3,100,Standard,2026-03-14,2.3
stor-0380,EBS,500,gp3,2026-06-15,40.0
stor-0381,EFS,2000,Standard,2026-04-25,600.0
stor-0382,S3,2000,STANDARD_IA,2026-02-13,46.0
stor-0383,EBS,250,gp2,2026-06-15,20.0
stor-0384,EFS,2000,Standard,2026-05-17,600.0
stor-0385,S3,250,Glacier,2026-01-26,5.75
stor-0386,EBS,100,gp3,2026-06-15,8.0
stor-0387,EFS,100,Standard,2025-12-31,30.0
stor-0388,S3,1000,STANDARD_IA,2026-04-08,23.0
stor-0389,EBS,250,gp3,2026-06-15,20.0
stor-0390,EFS,100,Standard,2026-04-11,30.0
stor-0391,S3,50,STANDARD_IA,2026-05-03,1.15
stor-0392,EBS,250,gp2,2026-06-15,20.0
stor-0393,EFS,1000,Standard,2026-05-19,300.0
stor-0394,S3,250,Standard,2026-06-29,5.75
stor-0395,EBS,100,gp3,2026-06-15,8.0
stor-0396,EFS,100,Standard,2026-03-29,30.0
stor-0397,S3,50,Standard,2026-03-28,1.15
stor-0398,EBS,1000,gp3,2026-06-15,80.0
stor-0399,EFS,100,Standard,2026-02-23,30.0
stor-0400,S3,50,Standard,2026-01-08,1.15
stor-0401,EBS,250,gp3,2026-06-15,20.0
stor-0402,EFS,2000,Standard,2026-04-17,600.0
stor-0403,S3,100,Glacier,2026-04-25,2.3
stor-0404,EBS,100,gp2,2026-06-15,8.0
stor-0405,EFS,100,Standard,2026-03-02,30.0
stor-0406,S3,500,Standard,2026-02-28,11.5
stor-0407,EBS,1000,gp3,2026-06-15,80.0
stor-0408,EFS,100,Standard,2026-05-10,30.0
stor-0409,S3,100,Standard,2026-03-24,2.3
stor-0410,EBS,1000,gp2,2026-06-15,80.0
stor-0411,EFS,1000,Standard,2025-12-28,300.0
stor-0412,S3,100,Standard,2026-06-05,2.3
stor-0413,EBS,100,gp3,2026-06-15,8.0
stor-0414,EFS,2000,Standard,2026-01-10,600.0
stor-0415,S3,250,Standard,2026-02-27,5.75
stor-0416,EBS,500,gp2,2026-06-15,40.0
stor-0417,EFS,100,Standard,2025-12-25,30.0
stor-0418,S3,500,STANDARD_IA,2026-03-27,11.5
stor-0419,EBS,250,gp2,2026-06-15,20.0
stor-0420,EFS,500,Standard,2026-02-22,150.0
stor-0421,S3,500,Glacier,2026-06-04,11.5
stor-0422,EBS,1000,gp3,2026-06-15,80.0
stor-0423,EFS,2000,Standard,2026-01-11,600.0
stor-0424,S3,500,Glacier,2026-02-17,11.5
stor-0425,EBS,1000,gp2,2026-06-15,80.0
stor-0426,EFS,500,Standard,2026-05-04,150.0
stor-0427,S3,50,Standard,2026-05-15,1.15
stor-0428,EBS,100,gp3,2026-06-15,8.0
stor-0429,EFS,1000,Standard,2026-02-15,300.0
stor-0430,S3,100,Standard,2026-03-19,2.3
stor-0431,EBS,250,gp3,2026-06-15,20.0
stor-0432,EFS,1000,Standard,2026-03-05,300.0
stor-0433,S3,1000,Standard,2026-06-06,23.0
stor-0434,EBS,1000,gp2,2026-06-15,80.0
stor-0435,EFS,2000,Standard,2026-05-10,600.0
stor-0436,S3,50,Standard,2026-04-08,1.15
stor-0437,EBS,250,gp2,2026-06-15,20.0
stor-0438,EFS,1000,Standard,2026-05-15,300.0
stor-0439,S3,250,Standard,2026-01-05,5.75
stor-0440,EBS,500,gp3,2026-06-15,40.0
stor-0441,EFS,2000,Standard,2026-03-25,600.0
stor-0442,S3,500,Standard,2026-04-16,11.5
stor-0443,EBS,250,gp3,2026-06-15,20.0
stor-0444,EFS,2000,Standard,2025-12-04,600.0
stor-0445,S3,100,Standard,2026-01-14,2.3
stor-0446,EBS,1000,gp3,2026-06-15,80.0
stor-0447,EFS,500,Standard,2026-02-06,150.0
stor-0448,S3,250,Glacier,2026-01-10,5.75
stor-0449,EBS,500,gp2,2026-06-15,40.0
stor-0450,EFS,100,Standard,2026-03-11,30.0
stor-0451,S3,100,Standard,2026-01-28,2.3
stor-0452,EBS,250,gp2,2026-06-15,20.0
stor-0453,EFS,2000,Standard,2026-01-26,600.0
stor-0454,S3,1000,Glacier,2026-06-02,23.0
stor-0455,EBS,250,gp2,2026-06-15,20.0
stor-0456,EFS,100,Standard,2026-04-22,30.0
stor-0457,S3,500,Standard,2026-05-12,11.5
stor-0458,EBS,500,gp2,2026-06-15,40.0
stor-0459,EFS,500,Standard,2026-03-13,150.0
stor-0460,S3,250,Standard,2026-02-27,5.75
stor-0461,EBS,100,gp3,2026-06-15,8.0
stor-0462,EFS,100,Standard,2026-01-15,30.0
stor-0463,S3,50,STANDARD_IA,2026-02-04,1.15
stor-0464,EBS,100,gp3,2026-06-15,8.0
stor-0465,EFS,500,Standard,2026-04-07,150.0
stor-0466,S3,100,Standard,2026-01-29,2.3
stor-0467,EBS,250,gp3,2026-06-15,20.0
stor-0468,EFS,1000,Standard,2026-05-23,300.0
stor-0469,S3,50,Standard,2026-06-03,1.15
stor-0470,EBS,100,gp3,2026-06-15,8.0
stor-0471,EFS,2000,Standard,2026-04-21,600.0
stor-0472,S3,2000,STANDARD_IA,2026-05-23,46.0
stor-0473,EBS,500,gp3,2026-06-15,40.0
stor-0474,EFS,2000,Standard,2026-01-06,600.0
stor-0475,S3,1000,Glacier,2026-04-11,23.0
stor-0476,EBS,500,gp3,2026-06-15,40.0
stor-0477,EFS,100,Standard,2025-12-11,30.0
stor-0478,S3,250,Standard,2026-03-07,5.75
stor-0479,EBS,1000,gp3,2026-06-15,80.0
stor-0480,EFS,100,Standard,2026-04-11,30.0
stor-0481,S3,2000,Glacier,2026-05-24,46.0
stor-0482,EBS,1000,gp3,2026-06-15,80.0
stor-0483,EFS,100,Standard,2025-12-31,30.0
stor-0484,S3,500,STANDARD_IA,2026-02-25,11.5
stor-0485,EBS,100,gp3,2026-06-15,8.0
stor-0486,EFS,1000,Standard,2026-02-12,300.0
stor-0487,S3,100,STANDARD_IA,2026-04-22,2.3
stor-0488,EBS,1000,gp2,2026-06-15,80.0
stor-0489,EFS,500,Standard,2026-04-23,150.0
stor-0490,S3,50,Standard,2026-04-24,1.15
stor-0491,EBS,500,gp2,2026-06-15,40.0
stor-0492,EFS,2000,Standard,2025-12-28,600.0
stor-0493,S3,500,Standard,2026-06-10,11.5
stor-0494,EBS,1000,gp3,2026-06-15,80.0
stor-0495,EFS,500,Standard,2026-04-30,150.0
stor-0496,S3,1000,STANDARD_IA,2026-06-07,23.0
stor-0497,EBS,1000,gp3,2026-06-15,80.0
stor-0498,EFS,100,Standard,2026-05-03,30.0
stor-0499,S3,50,Standard,2026-04-19,1.15
stor-0500,EBS,500,gp2,2026-06-15,40.0
