resource_id,resource_type,required_tags,missing_tags,compliance_status
res-00047,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00048,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00049,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00050,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00051,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00052,EBS,"business_unit,product,environment,cost_centre,team,service",team,NON_COMPLIANT
res-00053,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00054,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00055,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00056,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00057,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00058,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00059,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00060,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00061,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00062,RDS,"business_unit,product,environment,cost_centre,team,service",cost_centre,NON_COMPLIANT
res-00063,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00064,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00065,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00066,ALB,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00067,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00068,Lambda,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00069,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00070,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00071,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00072,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00073,EC2,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00074,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00075,S3,"business_unit,product,environment,cost_centre,team,service",team,NON_COMPLIANT
res-00076,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00077,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00078,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00079,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00080,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00081,EKS,"business_unit,product,environment,cost_centre,team,service",cost_centre,NON_COMPLIANT
res-00082,SQS,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00083,CloudWatch,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00084,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00085,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00086,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00087,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00088,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00089,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00090,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00091,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00092,Lambda,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00093,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00094,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00095,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00096,SageMaker,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00097,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00098,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00099,S3,"business_unit,product,environment,cost_centre,team,service",cost_centre,NON_COMPLIANT
res-00100,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00101,EFS,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00102,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00103,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00104,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00105,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00106,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00107,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00108,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00109,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00110,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00111,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00112,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00113,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00114,ALB,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00115,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00116,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00117,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00118,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00119,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00120,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00121,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00122,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00123,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00124,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00125,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00126,ALB,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00127,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00128,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00129,EKS,"business_unit,product,environment,cost_centre,team,service","environment,service",NON_COMPLIANT
res-00130,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00131,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00132,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00133,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00134,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00135,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00136,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00137,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00138,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00139,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00140,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00141,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00142,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00143,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00144,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00145,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00146,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00147,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00148,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00149,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00150,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00151,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00152,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00153,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00154,SQS,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00155,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00156,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00157,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00158,RDS,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00159,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00160,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00161,EFS,"business_unit,product,environment,cost_centre,team,service",team,NON_COMPLIANT
res-00162,ALB,"business_unit,product,environment,cost_centre,team,service","cost_centre,product",NON_COMPLIANT
res-00163,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00164,Lambda,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00165,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00166,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00167,CloudWatch,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00168,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00169,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00170,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00171,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00172,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00173,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00174,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00175,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00176,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00177,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00178,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00179,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00180,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00181,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00182,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00183,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00184,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00185,EFS,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00186,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00187,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00188,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00189,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00190,SQS,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00191,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00192,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00193,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00194,RDS,"business_unit,product,environment,cost_centre,team,service","business_unit,product",NON_COMPLIANT
res-00195,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00196,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00197,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00198,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00199,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00200,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00201,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00202,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00203,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00204,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00205,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00206,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00207,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00208,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00209,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00210,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00211,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00212,Lambda,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00213,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00214,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00215,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00216,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00217,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00218,RDS,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00219,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00220,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00221,EFS,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00222,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00223,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00224,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00225,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00226,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00227,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00228,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00229,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00230,RDS,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00231,S3,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00232,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00233,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00234,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00235,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00236,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00237,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00238,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00239,CloudWatch,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00240,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00241,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00242,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00243,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00244,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00245,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00246,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00247,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",team,NON_COMPLIANT
res-00248,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00249,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00250,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00251,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00252,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00253,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00254,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00255,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00256,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00257,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00258,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00259,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00260,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00261,EKS,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00262,SQS,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00263,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00264,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00265,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00266,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00267,S3,"business_unit,product,environment,cost_centre,team,service",cost_centre,NON_COMPLIANT
res-00268,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00269,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00270,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00271,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00272,Lambda,"business_unit,product,environment,cost_centre,team,service",team,NON_COMPLIANT
res-00273,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00274,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00275,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00276,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00277,EC2,"business_unit,product,environment,cost_centre,team,service","cost_centre,product",NON_COMPLIANT
res-00278,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00279,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00280,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00281,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00282,ALB,"business_unit,product,environment,cost_centre,team,service","business_unit,product",NON_COMPLIANT
res-00283,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00284,Lambda,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00285,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00286,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00287,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00288,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00289,EC2,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00290,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00291,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00292,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00293,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00294,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00295,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00296,Lambda,"business_unit,product,environment,cost_centre,team,service",team,NON_COMPLIANT
res-00297,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00298,SQS,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00299,CloudWatch,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00300,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00301,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00302,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00303,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00304,EBS,"business_unit,product,environment,cost_centre,team,service","environment,team",NON_COMPLIANT
res-00305,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00306,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00307,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00308,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00309,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00310,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00311,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00312,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00313,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00314,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00315,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00316,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00317,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00318,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00319,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00320,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00321,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00322,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00323,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00324,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00325,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00326,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00327,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00328,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00329,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00330,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00331,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00332,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00333,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00334,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00335,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00336,SageMaker,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00337,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00338,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00339,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00340,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00341,EFS,"business_unit,product,environment,cost_centre,team,service",team,NON_COMPLIANT
res-00342,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
