instance_id,type,avg_cpu,max_cpu,avg_mem,hours_running,month,environment,team
i-0019,m5.2xlarge,10.92,25.22,33.72,720,2026-03,development,lending-backend
i-0019,m5.2xlarge,8.21,44.13,15.43,720,2026-04,development,lending-backend
i-0019,m5.2xlarge,17.01,26.9,20.07,720,2026-05,development,lending-backend
i-0019,m5.2xlarge,10.38,34.64,20.01,720,2026-06,development,lending-backend
i-0020,r5.xlarge,15.23,20.39,13.48,720,2026-01,sandbox,platform-infra
i-0020,r5.xlarge,9.1,30.47,30.74,720,2026-02,sandbox,platform-infra
i-0020,r5.xlarge,17.77,26.12,25.21,720,2026-03,sandbox,platform-infra
i-0020,r5.xlarge,16.45,27.22,21.41,720,2026-04,sandbox,platform-infra
i-0020,r5.xlarge,13.76,23.37,12.6,720,2026-05,sandbox,platform-infra
i-0020,r5.xlarge,9.68,35.67,13.69,720,2026-06,sandbox,platform-infra
i-0021,r5.2xlarge,10.09,28.45,13.79,720,2026-01,production,data-engineering
i-0021,r5.2xlarge,10.11,42.78,12.44,720,2026-02,production,data-engineering
i-0021,r5.2xlarge,15.19,29.61,27.47,720,2026-03,production,data-engineering
i-0021,r5.2xlarge,14.48,25.59,31.49,720,2026-04,production,data-engineering
i-0021,r5.2xlarge,13.41,40.56,21.34,720,2026-05,production,data-engineering
i-0021,r5.2xlarge,18.83,39.26,34.22,720,2026-06,production,data-engineering
i-0022,c5.xlarge,13.66,31.84,29.38,720,2026-01,staging,payments
i-0022,c5.xlarge,17.68,44.1,19.46,720,2026-02,staging,payments
i-0022,c5.xlarge,16.79,25.27,24.55,720,2026-03,staging,payments
i-0022,c5.xlarge,9.98,28.68,33.42,720,2026-04,staging,payments
i-0022,c5.xlarge,9.61,35.81,25.64,720,2026-05,staging,payments
i-0022,c5.xlarge,9.33,28.15,24.95,720,2026-06,staging,payments
i-0023,c5.2xlarge,10.06,40.02,34.36,720,2026-01,development,risk-engineering
i-0023,c5.2xlarge,10.36,24.67,22.46,720,2026-02,development,risk-engineering
i-0023,c5.2xlarge,16.23,27.04,12.46,720,2026-03,development,risk-engineering
i-0023,c5.2xlarge,13.95,43.92,21.0,720,2026-04,development,risk-engineering
i-0023,c5.2xlarge,12.62,44.22,27.98,720,2026-05,development,risk-engineering
i-0023,c5.2xlarge,15.91,34.07,34.42,720,2026-06,development,risk-engineering
i-0024,t3.large,15.58,42.38,28.09,720,2026-01,sandbox,product-engineering
i-0024,t3.large,16.09,27.26,18.98,720,2026-02,sandbox,product-engineering
i-0024,t3.large,16.61,27.42,24.94,720,2026-03,sandbox,product-engineering
i-0024,t3.large,10.74,40.42,14.54,720,2026-04,sandbox,product-engineering
i-0024,t3.large,17.12,35.07,16.3,720,2026-05,sandbox,product-engineering
i-0024,t3.large,13.96,27.06,19.44,720,2026-06,sandbox,product-engineering
i-0025,m5.xlarge,11.87,21.58,34.68,720,2026-01,production,lending-backend
i-0025,m5.xlarge,8.35,36.56,20.54,720,2026-02,production,lending-backend
i-0025,m5.xlarge,15.11,28.91,27.5,720,2026-03,production,lending-backend
i-0025,m5.xlarge,16.02,37.26,14.62,720,2026-04,production,lending-backend
i-0025,m5.xlarge,15.23,27.0,12.66,720,2026-05,production,lending-backend
i-0025,m5.xlarge,12.56,30.84,22.75,720,2026-06,production,lending-backend
i-0026,m5.large,15.75,27.72,19.25,720,2026-01,staging,platform-infra
i-0026,m5.large,8.67,37.17,25.06,720,2026-02,staging,platform-infra
i-0026,m5.large,11.84,37.63,24.36,720,2026-03,staging,platform-infra
i-0026,m5.large,13.16,32.78,26.64,720,2026-04,staging,platform-infra
i-0026,m5.large,15.26,27.22,15.24,720,2026-05,staging,platform-infra
i-0026,m5.large,9.72,35.98,32.08,720,2026-06,staging,platform-infra
i-0027,m5.2xlarge,12.5,24.24,29.4,720,2026-01,development,data-engineering
i-0027,m5.2xlarge,17.16,42.01,25.96,720,2026-02,development,data-engineering
i-0027,m5.2xlarge,17.47,20.39,14.47,720,2026-03,development,data-engineering
i-0027,m5.2xlarge,9.02,37.82,13.6,720,2026-04,development,data-engineering
i-0027,m5.2xlarge,13.46,31.82,19.15,720,2026-05,development,data-engineering
i-0027,m5.2xlarge,17.57,24.26,20.11,720,2026-06,development,data-engineering
i-0028,r5.xlarge,16.52,20.76,27.48,720,2026-01,sandbox,payments
i-0028,r5.xlarge,16.98,43.31,32.15,720,2026-02,sandbox,payments
i-0028,r5.xlarge,11.51,34.66,13.78,720,2026-03,sandbox,payments
i-0028,r5.xlarge,10.84,22.36,19.25,720,2026-04,sandbox,payments
i-0028,r5.xlarge,17.63,28.68,24.92,720,2026-05,sandbox,payments
i-0028,r5.xlarge,12.77,31.47,34.3,720,2026-06,sandbox,payments
i-0029,r5.2xlarge,11.26,35.68,21.66,720,2026-01,production,risk-engineering
i-0029,r5.2xlarge,8.67,32.23,30.71,720,2026-02,production,risk-engineering
i-0029,r5.2xlarge,9.09,21.74,15.53,720,2026-03,production,risk-engineering
i-0029,r5.2xlarge,16.41,38.1,25.0,720,2026-04,production,risk-engineering
i-0029,r5.2xlarge,13.15,42.21,29.63,720,2026-05,production,risk-engineering
i-0029,r5.2xlarge,16.93,40.33,26.78,720,2026-06,production,risk-engineering
i-0030,c5.xlarge,13.04,41.62,33.3,720,2026-01,staging,product-engineering
i-0030,c5.xlarge,8.26,21.29,34.05,720,2026-02,staging,product-engineering
i-0030,c5.xlarge,11.05,41.83,20.94,720,2026-03,staging,product-engineering
i-0030,c5.xlarge,9.31,22.01,15.6,720,2026-04,staging,product-engineering
i-0030,c5.xlarge,10.75,32.21,28.13,720,2026-05,staging,product-engineering
i-0030,c5.xlarge,18.85,31.04,23.92,720,2026-06,staging,product-engineering
i-0031,c5.2xlarge,13.74,33.49,23.91,720,2026-01,development,lending-backend
i-0031,c5.2xlarge,8.1,20.04,14.25,720,2026-02,development,lending-backend
i-0031,c5.2xlarge,9.12,37.62,16.71,720,2026-03,development,lending-backend
i-0031,c5.2xlarge,17.84,43.22,34.45,720,2026-04,development,lending-backend
i-0031,c5.2xlarge,18.33,26.8,23.72,720,2026-05,development,lending-backend
i-0031,c5.2xlarge,9.93,40.16,32.43,720,2026-06,development,lending-backend
i-0032,t3.large,17.36,30.83,29.45,720,2026-01,sandbox,platform-infra
i-0032,t3.large,9.07,21.01,29.32,720,2026-02,sandbox,platform-infra
i-0032,t3.large,12.68,44.89,14.24,720,2026-03,sandbox,platform-infra
i-0032,t3.large,17.41,32.0,31.02,720,2026-04,sandbox,platform-infra
i-0032,t3.large,16.99,42.9,18.85,720,2026-05,sandbox,platform-infra
i-0032,t3.large,18.45,23.79,13.89,720,2026-06,sandbox,platform-infra
i-0033,m5.xlarge,12.75,40.71,22.89,720,2026-01,production,data-engineering
i-0033,m5.xlarge,17.12,38.24,16.82,720,2026-02,production,data-engineering
i-0033,m5.xlarge,18.44,21.52,32.66,720,2026-03,production,data-engineering
i-0033,m5.xlarge,11.35,32.5,21.71,720,2026-04,production,data-engineering
i-0033,m5.xlarge,9.89,28.95,16.44,720,2026-05,production,data-engineering
i-0033,m5.xlarge,10.24,24.68,23.25,720,2026-06,production,data-engineering
i-0034,m5.large,16.78,34.22,32.54,720,2026-01,staging,payments
i-0034,m5.large,15.0,37.23,27.35,720,2026-02,staging,payments
i-0034,m5.large,12.94,37.23,13.6,720,2026-03,staging,payments
i-0034,m5.large,17.46,39.45,17.64,720,2026-04,staging,payments
i-0034,m5.large,16.45,20.32,17.0,720,2026-05,staging,payments
i-0034,m5.large,8.72,39.51,29.39,720,2026-06,staging,payments
i-0035,m5.2xlarge,16.95,20.11,23.53,720,2026-01,development,risk-engineering
i-0035,m5.2xlarge,15.75,23.89,26.95,720,2026-02,development,risk-engineering
i-0035,m5.2xlarge,8.93,24.53,22.94,720,2026-03,development,risk-engineering
i-0035,m5.2xlarge,15.19,23.65,16.26,720,2026-04,development,risk-engineering
i-0035,m5.2xlarge,10.25,25.97,17.21,720,2026-05,development,risk-engineering
i-0035,m5.2xlarge,12.35,36.34,22.07,720,2026-06,development,risk-engineering
i-0036,r5.xlarge,16.54,37.98,14.91,720,2026-01,sandbox,product-engineering
i-0036,r5.xlarge,8.54,41.95,13.84,720,2026-02,sandbox,product-engineering
i-0036,r5.xlarge,9.63,20.55,26.45,720,2026-03,sandbox,product-engineering
i-0036,r5.xlarge,14.41,44.67,32.4,720,2026-04,sandbox,product-engineering
i-0036,r5.xlarge,12.52,29.29,18.83,720,2026-05,sandbox,product-engineering
i-0036,r5.xlarge,9.68,23.45,15.04,720,2026-06,sandbox,product-engineering
i-0037,r5.2xlarge,9.26,26.01,19.05,720,2026-01,production,lending-backend
i-0037,r5.2xlarge,18.58,34.46,34.71,720,2026-02,production,lending-backend
i-0037,r5.2xlarge,12.1,31.44,19.47,720,2026-03,production,lending-backend
i-0037,r5.2xlarge,10.01,23.58,33.74,720,2026-04,production,lending-backend
i-0037,r5.2xlarge,18.85,21.12,15.46,720,2026-05,production,lending-backend
i-0037,r5.2xlarge,12.66,24.66,20.37,720,2026-06,production,lending-backend
i-0038,c5.xlarge,9.42,31.41,18.25,720,2026-01,staging,platform-infra
i-0038,c5.xlarge,11.87,22.36,21.85,720,2026-02,staging,platform-infra
i-0038,c5.xlarge,18.82,28.22,32.16,720,2026-03,staging,platform-infra
i-0038,c5.xlarge,17.28,43.8,30.17,720,2026-04,staging,platform-infra
i-0038,c5.xlarge,15.26,41.41,13.74,720,2026-05,staging,platform-infra
i-0038,c5.xlarge,13.09,44.73,29.7,720,2026-06,staging,platform-infra
i-0039,c5.2xlarge,18.58,39.49,32.12,720,2026-01,development,data-engineering
i-0039,c5.2xlarge,15.77,39.01,24.03,720,2026-02,development,data-engineering
i-0039,c5.2xlarge,18.17,40.63,31.41,720,2026-03,development,data-engineering
i-0039,c5.2xlarge,15.4,27.61,12.82,720,2026-04,development,data-engineering
i-0039,c5.2xlarge,18.29,34.65,18.86,720,2026-05,development,data-engineering
i-0039,c5.2xlarge,9.64,40.74,31.24,720,2026-06,development,data-engineering
i-0040,t3.large,16.96,36.13,20.42,720,2026-01,sandbox,payments
i-0040,t3.large,11.34,20.21,31.17,720,2026-02,sandbox,payments
i-0040,t3.large,8.96,35.77,23.59,720,2026-03,sandbox,payments
i-0040,t3.large,13.79,43.17,12.73,720,2026-04,sandbox,payments
i-0040,t3.large,16.51,21.3,12.88,720,2026-05,sandbox,payments
i-0040,t3.large,12.73,21.58,30.15,720,2026-06,sandbox,payments
i-0041,m5.xlarge,13.83,20.73,12.93,720,2026-01,production,risk-engineering
i-0041,m5.xlarge,14.74,40.15,22.07,720,2026-02,production,risk-engineering
i-0041,m5.xlarge,14.1,40.0,26.04,720,2026-03,production,risk-engineering
i-0041,m5.xlarge,10.47,35.33,26.45,720,2026-04,production,risk-engineering
i-0041,m5.xlarge,16.08,35.52,34.29,720,2026-05,production,risk-engineering
i-0041,m5.xlarge,10.17,43.78,24.38,720,2026-06,production,risk-engineering
i-0042,m5.large,15.39,22.49,20.75,720,2026-01,staging,product-engineering
i-0042,m5.large,16.46,37.67,12.92,720,2026-02,staging,product-engineering
i-0042,m5.large,14.01,22.21,34.9,720,2026-03,staging,product-engineering
i-0042,m5.large,17.87,20.53,31.75,720,2026-04,staging,product-engineering
i-0042,m5.large,18.11,28.84,28.55,720,2026-05,staging,product-engineering
i-0042,m5.large,12.86,36.38,19.83,720,2026-06,staging,product-engineering
i-0043,m5.2xlarge,11.55,30.61,15.35,720,2026-01,development,lending-backend
i-0043,m5.2xlarge,17.14,28.72,21.2,720,2026-02,development,lending-backend
i-0043,m5.2xlarge,17.83,32.42,24.52,720,2026-03,development,lending-backend
i-0043,m5.2xlarge,18.52,42.17,15.9,720,2026-04,development,lending-backend
i-0043,m5.2xlarge,13.21,44.28,20.56,720,2026-05,development,lending-backend
i-0043,m5.2xlarge,12.09,24.88,14.63,720,2026-06,development,lending-backend
i-0044,r5.xlarge,16.14,39.25,34.29,720,2026-01,sandbox,platform-infra
i-0044,r5.xlarge,16.51,26.08,12.92,720,2026-02,sandbox,platform-infra
i-0044,r5.xlarge,18.84,28.51,19.18,720,2026-03,sandbox,platform-infra
i-0044,r5.xlarge,17.97,34.63,16.94,720,2026-04,sandbox,platform-infra
i-0044,r5.xlarge,17.78,44.83,13.99,720,2026-05,sandbox,platform-infra
i-0044,r5.xlarge,17.48,29.76,24.05,720,2026-06,sandbox,platform-infra
i-0045,r5.2xlarge,18.06,44.33,18.03,720,2026-01,production,data-engineering
i-0045,r5.2xlarge,10.34,22.01,24.92,720,2026-02,production,data-engineering
i-0045,r5.2xlarge,8.15,30.3,13.69,720,2026-03,production,data-engineering
i-0045,r5.2xlarge,12.46,21.0,31.21,720,2026-04,production,data-engineering
i-0045,r5.2xlarge,10.31,28.21,32.01,720,2026-05,production,data-engineering
i-0045,r5.2xlarge,16.21,25.48,13.65,720,2026-06,production,data-engineering
i-0046,c5.xlarge,15.87,29.77,29.62,720,2026-01,staging,payments
i-0046,c5.xlarge,12.9,28.65,22.38,720,2026-02,staging,payments
i-0046,c5.xlarge,16.23,42.56,13.14,720,2026-03,staging,payments
i-0046,c5.xlarge,13.77,20.82,22.77,720,2026-04,staging,payments
i-0046,c5.xlarge,17.74,29.04,33.45,720,2026-05,staging,payments
i-0046,c5.xlarge,14.94,43.35,29.41,720,2026-06,staging,payments
i-0047,c5.2xlarge,9.14,25.78,21.07,720,2026-01,development,risk-engineering
i-0047,c5.2xlarge,9.87,32.37,22.84,720,2026-02,development,risk-engineering
i-0047,c5.2xlarge,18.52,30.84,30.07,720,2026-03,development,risk-engineering
i-0047,c5.2xlarge,18.36,41.92,16.8,720,2026-04,development,risk-engineering
i-0047,c5.2xlarge,13.46,28.69,21.2,720,2026-05,development,risk-engineering
i-0047,c5.2xlarge,11.97,40.66,22.4,720,2026-06,development,risk-engineering
i-0048,t3.large,13.76,44.56,13.38,720,2026-01,sandbox,product-engineering
i-0048,t3.large,13.37,39.35,15.48,720,2026-02,sandbox,product-engineering
i-0048,t3.large,14.73,25.99,31.95,720,2026-03,sandbox,product-engineering
i-0048,t3.large,11.6,28.23,25.76,720,2026-04,sandbox,product-engineering
i-0048,t3.large,10.02,27.12,21.58,720,2026-05,sandbox,product-engineering
i-0048,t3.large,11.89,33.12,25.79,720,2026-06,sandbox,product-engineering
i-0049,m5.xlarge,14.23,36.35,19.08,720,2026-01,production,lending-backend
i-0049,m5.xlarge,9.39,39.02,31.57,720,2026-02,production,lending-backend
i-0049,m5.xlarge,10.83,30.18,23.47,720,2026-03,production,lending-backend
i-0049,m5.xlarge,13.87,36.49,12.96,720,2026-04,production,lending-backend
i-0049,m5.xlarge,15.94,21.55,22.77,720,2026-05,production,lending-backend
i-0049,m5.xlarge,17.1,31.28,15.43,720,2026-06,production,lending-backend
i-0050,m5.large,18.84,42.23,29.74,720,2026-01,staging,platform-infra
i-0050,m5.large,12.53,24.6,33.65,720,2026-02,staging,platform-infra
i-0050,m5.large,13.86,41.31,19.87,720,2026-03,staging,platform-infra
i-0050,m5.large,11.69,44.64,24.0,720,2026-04,staging,platform-infra
i-0050,m5.large,9.55,25.49,23.08,720,2026-05,staging,platform-infra
i-0050,m5.large,8.47,31.56,21.64,720,2026-06,staging,platform-infra
i-0051,m5.2xlarge,16.57,28.87,34.6,720,2026-01,development,data-engineering
i-0051,m5.2xlarge,9.99,34.77,14.06,720,2026-02,development,data-engineering
i-0051,m5.2xlarge,16.07,44.87,30.84,720,2026-03,development,data-engineering
i-0051,m5.2xlarge,14.11,32.12,31.21,720,2026-04,development,data-engineering
i-0051,m5.2xlarge,18.3,44.73,21.12,720,2026-05,development,data-engineering
i-0051,m5.2xlarge,18.9,23.9,17.83,720,2026-06,development,data-engineering
i-0052,r5.xlarge,8.98,26.79,29.66,720,2026-01,sandbox,payments
i-0052,r5.xlarge,17.38,39.47,26.51,720,2026-02,sandbox,payments
i-0052,r5.xlarge,13.65,37.72,20.99,720,2026-03,sandbox,payments
i-0052,r5.xlarge,17.25,36.93,28.05,720,2026-04,sandbox,payments
i-0052,r5.xlarge,13.9,42.13,17.8,720,2026-05,sandbox,payments
i-0052,r5.xlarge,12.19,39.44,23.33,720,2026-06,sandbox,payments
i-0053,r5.2xlarge,17.78,28.66,20.49,720,2026-01,production,risk-engineering
i-0053,r5.2xlarge,17.78,31.61,23.87,720,2026-02,production,risk-engineering
i-0053,r5.2xlarge,11.66,26.92,27.09,720,2026-03,production,risk-engineering
i-0053,r5.2xlarge,9.32,41.98,29.92,720,2026-04,production,risk-engineering
i-0053,r5.2xlarge,10.1,37.35,25.86,720,2026-05,production,risk-engineering
i-0053,r5.2xlarge,10.03,26.83,21.41,720,2026-06,production,risk-engineering
i-0054,c5.xlarge,15.69,35.97,24.24,720,2026-01,staging,product-engineering
i-0054,c5.xlarge,16.45,38.95,26.21,720,2026-02,staging,product-engineering
i-0054,c5.xlarge,16.66,28.36,32.27,720,2026-03,staging,product-engineering
i-0054,c5.xlarge,14.76,40.56,24.56,720,2026-04,staging,product-engineering
i-0054,c5.xlarge,10.4,33.56,20.54,720,2026-05,staging,product-engineering
i-0054,c5.xlarge,15.67,31.89,31.23,720,2026-06,staging,product-engineering
i-0055,c5.2xlarge,15.46,37.11,16.99,720,2026-01,development,lending-backend
i-0055,c5.2xlarge,18.83,41.04,30.15,720,2026-02,development,lending-backend
i-0055,c5.2xlarge,11.63,33.39,15.15,720,2026-03,development,lending-backend
i-0055,c5.2xlarge,13.92,23.65,24.72,720,2026-04,development,lending-backend
i-0055,c5.2xlarge,15.14,29.75,23.47,720,2026-05,development,lending-backend
i-0055,c5.2xlarge,17.63,22.71,30.21,720,2026-06,development,lending-backend
i-0056,t3.large,9.88,20.92,16.27,720,2026-01,sandbox,platform-infra
i-0056,t3.large,16.42,30.13,32.07,720,2026-02,sandbox,platform-infra
i-0056,t3.large,13.77,20.56,28.48,720,2026-03,sandbox,platform-infra
i-0056,t3.large,9.21,39.73,15.87,720,2026-04,sandbox,platform-infra
i-0056,t3.large,11.8,39.03,33.95,720,2026-05,sandbox,platform-infra
i-0056,t3.large,12.09,40.74,16.39,720,2026-06,sandbox,platform-infra
i-0057,m5.xlarge,16.88,36.44,16.43,720,2026-01,production,data-engineering
i-0057,m5.xlarge,11.33,23.29,20.81,720,2026-02,production,data-engineering
i-0057,m5.xlarge,10.24,36.1,34.87,720,2026-03,production,data-engineering
i-0057,m5.xlarge,8.13,33.52,25.19,720,2026-04,production,data-engineering
i-0057,m5.xlarge,18.06,32.65,24.51,720,2026-05,production,data-engineering
i-0057,m5.xlarge,13.19,26.72,13.29,720,2026-06,production,data-engineering
i-0058,m5.large,12.5,21.31,24.66,720,2026-01,staging,payments
i-0058,m5.large,11.38,33.34,15.09,720,2026-02,staging,payments
i-0058,m5.large,18.26,42.36,16.37,720,2026-03,staging,payments
i-0058,m5.large,11.78,35.34,14.2,720,2026-04,staging,payments
