date,service,anomaly_type,expected_cost,actual_cost,root_cause,severity,financial_impact,impact_pct,month,day_of_month,days_to_month_end,month_end_window_3d,deployment_event,severity_score,target_detection_sla_hours
2026-05-04,Backup/Snapshots,unbudgeted-service,457.92,686.87,new service launched,P3,228.95,49.99781621243885,2026-05,4,27,0,0,2,24
2026-04-09,Compute,runaway-autoscaling,864.68,2594.04,misconfigured max capacity,P1,1729.3600000000001,200.00000000000006,2026-04,9,21,0,0,4,1
2026-04-07,Storage,deployment-spike,1893.71,3787.43,large deployment,P2,1893.7199999999998,100.0005280639591,2026-04,7,23,0,1,3,4
2026-04-22,Database,unexpected-egress,2061.57,4123.13,cross-region transfer,P2,2061.56,99.99951493279393,2026-04,22,8,0,0,3,4
2026-01-28,Data Transfer,idle-resource-growth,1663.23,2494.84,non-prod left running,P3,831.6100000000001,49.99969938012182,2026-01,28,3,1,0,2,24
2026-02-13,Networking,storage-growth,792.28,1584.56,missing lifecycle policy,P2,792.28,100.0,2026-02,13,15,0,0,3,4
2026-06-02,Monitoring,unbudgeted-service,1873.3,2341.62,new service launched,P4,468.31999999999994,24.999733091336143,2026-06,2,28,0,0,1,72
2026-06-23,Security & Compliance,runaway-autoscaling,1085.22,2170.44,misconfigured max capacity,P2,1085.22,100.0,2026-06,23,7,0,0,3,4
2026-03-18,Messaging,deployment-spike,2381.16,3571.74,large deployment,P3,1190.58,50.0,2026-03,18,13,0,1,2,24
2026-03-05,Kubernetes/EKS,unexpected-egress,787.64,984.55,cross-region transfer,P4,196.90999999999997,24.999999999999996,2026-03,5,26,0,0,1,72
2026-01-06,Serverless,idle-resource-growth,921.96,1843.91,non-prod left running,P2,921.95,99.9989153542453,2026-01,6,25,0,0,3,4
2026-05-25,Analytics/ML,storage-growth,651.45,977.18,missing lifecycle policy,P3,325.7299999999999,50.00076751861231,2026-05,25,6,0,0,2,24
2026-01-02,Backup/Snapshots,unbudgeted-service,1170.07,2340.15,new service launched,P2,1170.0800000000002,100.00085464972184,2026-01,2,29,0,0,3,4
2026-06-24,Compute,runaway-autoscaling,1559.83,6239.3,misconfigured max capacity,P1,4679.47,299.99871780899207,2026-06,24,6,0,0,4,1
2026-03-02,Storage,deployment-spike,1171.8,3515.39,large deployment,P1,2343.59,199.99914661204986,2026-03,2,29,0,1,4,1
2026-02-02,Database,unexpected-egress,2150.07,4300.14,cross-region transfer,P2,2150.07,100.0,2026-02,2,26,0,0,3,4
2026-03-02,Data Transfer,idle-resource-growth,1707.6,2561.4,non-prod left running,P3,853.8000000000002,50.000000000000014,2026-03,2,29,0,0,2,24
2026-01-21,Networking,storage-growth,1141.36,3424.07,missing lifecycle policy,P1,2282.71,199.99912385224647,2026-01,21,10,0,0,4,1
2026-01-07,Monitoring,unbudgeted-service,2339.37,3509.06,new service launched,P3,1169.69,50.00021373275712,2026-01,7,24,0,0,2,24
2026-02-12,Security & Compliance,runaway-autoscaling,1758.76,3517.51,misconfigured max capacity,P2,1758.7500000000002,99.99943141758968,2026-02,12,16,0,0,3,4
2026-06-22,Messaging,deployment-spike,554.42,693.02,large deployment,P4,138.60000000000002,24.99909815663216,2026-06,22,8,0,1,1,72
