instance_id,instance_type,average_cpu_pct,peak_cpu_pct,average_memory_pct,peak_memory_pct,hours_running_per_month,months_observed,environment,team,hours_running_per_day,business_unit,estimated_monthly_cost,sustained_lt20_over_30d,target_type,target_monthly_cost,projected_monthly_savings,recommendation
i-0034,m5.large,14.558333333333332,39.51,22.92,32.54,720.0,6,staging,payments,24.0,lending,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0035,m5.2xlarge,13.236666666666666,36.34,21.493333333333336,26.95,720.0,6,development,risk-engineering,24.0,payments,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0036,r5.xlarge,11.886666666666665,44.67,20.245,32.4,720.0,6,sandbox,product-engineering,24.0,platform,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0037,r5.2xlarge,13.576666666666666,34.46,23.8,34.71,720.0,6,production,lending-backend,24.0,lending,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0038,c5.xlarge,14.29,44.73,24.311666666666667,32.16,720.0,6,staging,platform-infra,24.0,payments,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0039,c5.2xlarge,15.975,40.74,25.08,32.12,720.0,6,development,data-engineering,24.0,platform,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0040,t3.large,13.381666666666668,43.17,21.823333333333334,31.17,720.0,6,sandbox,payments,24.0,lending,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0041,m5.xlarge,13.231666666666667,43.78,24.36,34.29,720.0,6,production,risk-engineering,24.0,payments,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0042,m5.large,15.783333333333333,37.67,24.78333333333333,34.9,720.0,6,staging,product-engineering,24.0,platform,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0043,m5.2xlarge,15.056666666666667,44.28,18.69333333333333,24.52,720.0,6,development,lending-backend,24.0,lending,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0044,r5.xlarge,17.453333333333333,44.83,20.228333333333335,34.29,720.0,6,sandbox,platform-infra,24.0,payments,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0045,r5.2xlarge,12.588333333333333,44.33,22.251666666666665,32.01,720.0,6,production,data-engineering,24.0,platform,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0046,c5.xlarge,15.241666666666667,43.35,25.128333333333334,33.45,720.0,6,staging,payments,24.0,lending,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0047,c5.2xlarge,13.553333333333335,41.92,22.396666666666665,30.07,720.0,6,development,risk-engineering,24.0,payments,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0048,t3.large,12.561666666666667,44.56,22.323333333333334,31.95,720.0,6,sandbox,product-engineering,24.0,platform,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0049,m5.xlarge,13.56,39.02,20.88,31.57,720.0,6,production,lending-backend,24.0,lending,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0050,m5.large,12.49,44.64,25.33,33.65,720.0,6,staging,platform-infra,24.0,payments,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0051,m5.2xlarge,15.656666666666666,44.87,24.94333333333333,34.6,720.0,6,development,data-engineering,24.0,platform,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0052,r5.xlarge,13.891666666666666,42.13,24.39,29.66,720.0,6,sandbox,payments,24.0,lending,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0053,r5.2xlarge,12.778333333333334,41.98,24.77333333333333,29.92,720.0,6,production,risk-engineering,24.0,payments,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0054,c5.xlarge,14.938333333333333,40.56,26.508333333333336,32.27,720.0,6,staging,product-engineering,24.0,platform,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0055,c5.2xlarge,15.435,41.04,23.448333333333334,30.21,720.0,6,development,lending-backend,24.0,lending,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0056,t3.large,12.195,40.74,23.838333333333335,33.95,720.0,6,sandbox,platform-infra,24.0,payments,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0057,m5.xlarge,12.971666666666666,36.44,22.516666666666666,34.87,720.0,6,production,data-engineering,24.0,platform,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0058,m5.large,13.866666666666667,42.36,21.224999999999998,33.06,720.0,6,staging,payments,24.0,lending,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0059,m5.2xlarge,14.975,43.31,24.669999999999998,34.29,720.0,6,development,risk-engineering,24.0,payments,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0060,r5.xlarge,15.985,33.77,20.93,26.02,720.0,6,sandbox,product-engineering,24.0,platform,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0061,r5.2xlarge,16.078333333333333,42.4,24.153333333333336,33.99,720.0,6,production,lending-backend,24.0,lending,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0062,c5.xlarge,12.588333333333333,43.15,24.01,28.8,720.0,6,staging,platform-infra,24.0,payments,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0063,c5.2xlarge,14.071666666666667,40.7,25.833333333333332,33.63,720.0,6,development,data-engineering,24.0,platform,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0064,t3.large,11.636666666666665,37.54,24.155,30.64,720.0,6,sandbox,payments,24.0,lending,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0065,m5.xlarge,13.676666666666668,39.01,24.85166666666667,34.74,720.0,6,production,risk-engineering,24.0,payments,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0066,m5.large,13.906666666666666,41.55,19.865,31.37,720.0,6,staging,product-engineering,24.0,platform,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0067,m5.2xlarge,12.351666666666667,43.67,28.668333333333333,33.41,720.0,6,development,lending-backend,24.0,lending,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0068,r5.xlarge,14.089999999999998,31.7,17.95,28.46,720.0,6,sandbox,platform-infra,24.0,payments,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0069,r5.2xlarge,12.778333333333334,42.68,24.814999999999998,33.18,720.0,6,production,data-engineering,24.0,platform,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0070,c5.xlarge,14.308333333333332,39.33,21.088333333333335,31.29,720.0,6,staging,payments,24.0,lending,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0071,c5.2xlarge,13.058333333333332,44.96,24.366666666666664,30.03,720.0,6,development,risk-engineering,24.0,payments,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0072,t3.large,13.143333333333333,37.38,24.136666666666667,35.0,720.0,6,sandbox,product-engineering,24.0,platform,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0073,m5.xlarge,13.811666666666667,43.48,25.418333333333333,34.78,720.0,6,production,lending-backend,24.0,lending,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0074,m5.large,12.978333333333333,41.68,23.028333333333332,34.64,720.0,6,staging,platform-infra,24.0,payments,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0075,m5.2xlarge,14.598333333333334,39.33,24.816666666666666,33.13,720.0,6,development,data-engineering,24.0,platform,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0076,r5.xlarge,13.31,41.76,22.238333333333333,29.84,720.0,6,sandbox,payments,24.0,lending,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0077,r5.2xlarge,11.545,42.26,21.098333333333333,33.74,720.0,6,production,risk-engineering,24.0,payments,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0078,c5.xlarge,11.448333333333332,43.29,19.91333333333333,26.13,720.0,6,staging,product-engineering,24.0,platform,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0079,c5.2xlarge,14.256666666666666,41.65,19.763333333333332,32.3,720.0,6,development,lending-backend,24.0,lending,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0080,t3.large,11.741666666666667,39.14,25.865,32.57,720.0,6,sandbox,platform-infra,24.0,payments,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0081,m5.xlarge,11.301666666666668,44.62,24.478333333333335,34.58,720.0,6,production,data-engineering,24.0,platform,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0082,m5.large,16.441666666666666,43.86,23.33666666666667,29.52,720.0,6,staging,payments,24.0,lending,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0083,m5.2xlarge,13.926666666666668,33.23,21.736666666666668,33.88,720.0,6,development,risk-engineering,24.0,payments,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0084,r5.xlarge,12.478333333333332,39.37,20.7,24.69,720.0,6,sandbox,product-engineering,24.0,platform,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0085,r5.2xlarge,13.251666666666667,42.82,23.278333333333332,32.89,720.0,6,production,lending-backend,24.0,lending,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0086,c5.xlarge,14.395000000000001,43.47,26.403333333333336,34.83,720.0,6,staging,platform-infra,24.0,payments,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0087,c5.2xlarge,13.086666666666666,39.98,26.22,34.86,720.0,6,development,data-engineering,24.0,platform,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0088,t3.large,13.661666666666667,36.72,27.353333333333335,33.24,720.0,6,sandbox,payments,24.0,lending,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0089,m5.xlarge,13.965000000000002,41.2,26.513333333333335,34.17,720.0,6,production,risk-engineering,24.0,payments,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0090,m5.large,15.850000000000001,42.51,25.28333333333333,34.76,720.0,6,staging,product-engineering,24.0,platform,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0091,m5.2xlarge,13.865,41.26,24.171666666666667,31.28,720.0,6,development,lending-backend,24.0,lending,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0092,r5.xlarge,14.071666666666665,42.31,16.838333333333335,28.08,720.0,6,sandbox,platform-infra,24.0,payments,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0093,r5.2xlarge,13.75,42.95,24.00333333333333,33.32,720.0,6,production,data-engineering,24.0,platform,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0094,c5.xlarge,12.426666666666668,35.61,25.679999999999996,32.4,720.0,6,staging,payments,24.0,lending,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0095,c5.2xlarge,13.508333333333335,42.45,24.665000000000003,33.66,720.0,6,development,risk-engineering,24.0,payments,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0096,t3.large,14.57,43.31,23.575,31.43,720.0,6,sandbox,product-engineering,24.0,platform,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0097,m5.xlarge,14.983333333333334,41.61,23.581666666666667,28.32,720.0,6,production,lending-backend,24.0,lending,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0098,m5.large,13.528333333333334,44.48,20.753333333333334,28.12,720.0,6,staging,platform-infra,24.0,payments,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0099,m5.2xlarge,10.486666666666666,44.72,25.373333333333335,31.93,720.0,6,development,data-engineering,24.0,platform,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0100,r5.xlarge,14.593333333333334,38.4,26.953333333333333,29.85,720.0,6,sandbox,payments,24.0,lending,175,True,r5.large,87.5,87.5,Right-size one family step after validation
